variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,resolve_coercive_credit_collection,The narrative ends with Send for Credit Collection after notification and penalty additions.,2.0,resolve_delinquent_payment,1.0,0.015612207353115082,0.05419275537133217
V0002,resolve_timely_payment,The narrative shows prompt payment without sending fine notification or penalties.,5.0,resolve_judicial_appeal,2.0,0.5620338320732117,0.17589472234249115
V0003,,"The case ends with Send Fine and remains unresolved (no payment, appeal, or collection).",,resolve_timely_payment,1.0,,0.33492860198020935
V0004,resolve_delinquent_payment,The case is resolved via payment after notification and penalty additions.,1.0,resolve_coercive_credit_collection,1.0,0.3405536413192749,6.770990876248106e-05
V0005,resolve_delinquent_payment,"The case results in payment after notification and penalty additions, with repeated payment rework.",0.0,resolve_coercive_credit_collection,1.0,0.01632649265229702,0.0028145748656243086
V0006,resolve_delinquent_payment,The case concludes with payment following notification and penalty steps.,2.0,resolve_coercive_credit_collection,1.0,0.026891911402344704,0.004125290084630251
V0007,resolve_timely_payment,The fine is resolved via prompt payment shortly after being sent.,4.0,resolve_judicial_appeal,1.0,0.40461382269859314,0.018474731594324112
V0008,resolve_administrative_appeal,The narrative involves administrative appeal steps directed to the Prefecture.,2.0,resolve_delinquent_payment,1.0,0.3506118953227997,0.12137193232774734
V0009,resolve_coercive_credit_collection,"Despite an interim payment attempt, the case ultimately ends in coercive credit collection.",2.0,resolve_delinquent_payment,1.0,0.016952350735664368,0.05553290247917175
V0010,resolve_coercive_credit_collection,The case concludes with Send for Credit Collection following penalties and notifications.,3.0,resolve_delinquent_payment,1.0,0.020879292860627174,0.05945984646677971
V0011,resolve_administrative_appeal,The narrative proceeds through administrative appeal actions to the Prefecture.,3.0,resolve_timely_payment,1.0,0.3446626365184784,0.11542269587516785
V0012,,The narrative concludes with Send Fine without reaching a resolution.,,resolve_timely_payment,1.0,,0.33692148327827454
V0013,resolve_administrative_appeal,The case is resolved via payment following a completed administrative appeal process to the Prefecture.,2.0,resolve_coercive_credit_collection,1.0,0.007717736065387726,0.0031689032912254333
V0014,resolve_judicial_appeal,The narrative involves an appeal to a judge (judicial appeal) before payment.,4.0,resolve_delinquent_payment,1.0,0.005550093483179808,0.0032684020698070526
V0015,resolve_administrative_appeal,The narrative progresses through administrative appeal preparation and filing to the Prefecture.,4.0,resolve_judicial_appeal,1.0,0.37154170870780945,0.1423017829656601
V0016,resolve_administrative_appeal,The case is resolved via payment after a full administrative appeal cycle involving the Prefecture.,2.0,resolve_coercive_credit_collection,1.0,0.0,0.00037261247052811086
V0017,resolve_coercive_credit_collection,The case involves a judicial appeal followed ultimately by coercive credit collection.,3.0,resolve_judicial_appeal,1.0,0.011320621706545353,0.027259929105639458
V0018,resolve_delinquent_payment,The case is resolved via delinquent payment after fine notification and penalty.,2.0,resolve_coercive_credit_collection,1.0,0.026644207537174225,0.0038775841239839792
V0019,resolve_coercive_credit_collection,"The administrative appeal process concludes, but the case ultimately goes to credit collection.",2.0,resolve_administrative_appeal,1.0,0.0017929569585248828,0.036787595599889755
V0020,resolve_coercive_credit_collection,"Following an administrative appeal and notification of results, the case ends in credit collection.",2.0,resolve_administrative_appeal,1.0,0.009584001265466213,0.048164550215005875
V0021,resolve_delinquent_payment,The case is resolved through multiple delayed payments after notification and penalty.,1.0,resolve_coercive_credit_collection,1.0,0.02187945879995823,0.0020457857754081488
