variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,standard_procurement,"Follows the straightforward high-frequency path of PO creation, goods receipt, invoice receipt, and clearing with no friction.",1.0,chronic_rework_outlier,1.0,0.003405424067750573,0.00012286112178117037
V0002,standard_procurement,"Typical procurement cycle without anomalies, ending in invoice clearing.",1.0,service_entry_execution,1.0,0.00017403268429916352,0.0001714127283776179
V0003,short_cancellation,Short trace ending prematurely at goods receipt without invoice recording or completion.,1.0,service_entry_execution,1.0,0.33546575903892517,0.0022300330456346273
V0004,standard_procurement,Standard procurement flow with a single payment block removal before final invoice clearing.,2.0,service_entry_execution,1.0,0.0011195526458323002,0.00015540023741777986
V0005,standard_procurement,Straightforward procurement path including order confirmation and standard invoice clearing.,2.0,chronic_rework_outlier,1.0,0.0030309667345136404,1.9236773368902504e-05
V0006,standard_procurement,"Standard procurement initiated from a purchase requisition, proceeding normally to invoice clearing.",2.0,chronic_rework_outlier,1.0,0.00499179819598794,3.895186637237202e-06
V0007,standard_procurement,Standard cycle featuring a minor payment block removal and eventual clearing.,3.0,chronic_rework_outlier,1.0,0.00021588119852822274,0.00010002710041590035
V0008,standard_procurement,Typical procurement process with standard invoice receipt and payment block clearing.,2.0,service_entry_execution,1.0,0.004392118193209171,1.7414946341887116e-05
V0009,short_cancellation,Minimal-length trace where the purchase order is immediately deleted.,1.0,service_entry_execution,2.0,0.04819612205028534,0.06391561031341553
V0010,standard_procurement,Standard procurement flow including order confirmation and invoice clearing.,1.0,chronic_rework_outlier,2.0,0.0005709082470275462,1.8670036297407933e-05
V0011,standard_procurement,Standard purchasing path ending at invoice receipt without anomalies.,3.0,chronic_rework_outlier,1.0,0.346347838640213,0.0018126447685062885
V0012,short_cancellation,Short trace stopping at goods receipt without proceeding to invoicing.,2.0,standard_procurement,1.0,0.33405423164367676,6.418859265977517e-05
V0013,standard_procurement,Standard procurement sequence from PO to invoice receipt.,2.0,service_entry_execution,1.0,0.34924057126045227,6.99508746038191e-05
V0014,short_cancellation,Extremely short trace consisting solely of purchase order item creation with zero duration.,2.0,service_entry_execution,2.0,0.5563180446624756,0.12683935463428497
V0015,standard_procurement,Standard procurement process concluding successfully at invoice receipt.,2.0,chronic_rework_outlier,1.0,0.34606683254241943,0.0015316056087613106
V0016,standard_procurement,Standard procurement from requisition through goods/invoice receipt to invoice clearing.,2.0,chronic_rework_outlier,1.0,0.004812753293663263,9.139499888988212e-05
V0017,standard_procurement,Standard procurement cycle with order confirmation leading to invoice receipt.,4.0,chronic_rework_outlier,2.0,0.3608532249927521,0.002879614243283868
V0018,standard_procurement,Standard procurement flow starting from requisition and concluding at invoice receipt.,3.0,chronic_rework_outlier,1.0,0.34828808903694153,8.846562559483573e-05
V0019,standard_procurement,Standard process flow with a single quantity change before normal invoice clearing.,1.0,chronic_rework_outlier,1.0,0.0024377007503062487,1.8034315871773288e-05
V0020,standard_procurement,"Procurement flow where the vendor creates the invoice slightly early, followed by standard steps and clearing.",3.0,service_entry_execution,1.0,0.006546519696712494,7.608888699905947e-05
V0021,standard_procurement,Standard procurement cycle with a payment block removal and subsequent clearing.,3.0,chronic_rework_outlier,1.0,0.0023594258818775415,2.505644988559652e-05
V0022,standard_procurement,"Standard procurement path with order confirmation, payment block removal, and invoice clearing.",3.0,chronic_rework_outlier,1.0,0.0009897617856040597,2.5609393560444005e-05
V0023,standard_procurement,Standard procurement cycle featuring a quantity change before standard invoice clearing.,2.0,chronic_rework_outlier,1.0,0.004101927857846022,7.724004535702989e-05
V0024,short_cancellation,Short trace stopping immediately after purchase order creation.,3.0,standard_procurement,2.0,0.3879684507846832,0.035143908113241196
V0025,standard_procurement,Standard procurement process with a minor price change leading to normal clearing.,1.0,chronic_rework_outlier,1.0,0.0036630185786634684,2.2126391741039697e-06
V0026,standard_procurement,"Follows a straightforward sequence from requisition, order, invoice, receipt, payment block removal, to final invoice clearing without excessive complexity.",4.0,chronic_rework_outlier,1.0,0.01538155972957611,0.00026325476937927306
V0027,,"Incomplete or truncated procurement path ending directly at invoice receipt without goods receipt or clearing, fitting neither standard procurement nor short cancellation.",,short_cancellation,1.0,,0.00040712906047701836
V0028,standard_procurement,"Typical procurement flow featuring order creation, confirmation, goods receipt, and invoice receipt with minimal friction.",3.0,service_entry_execution,2.0,0.3555509150028229,0.0002827541611623019
V0029,short_cancellation,Short trace where the purchase order is deleted shortly after creation without proceeding to goods receipt or invoicing.,2.0,standard_procurement,2.0,0.022639336064457893,0.03835882619023323
V0030,standard_procurement,"Standard cycle involving requisition, order, confirmation, invoice, goods receipt, and invoice receipt.",3.0,chronic_rework_outlier,2.0,0.34640148282051086,0.001866282895207405
V0031,standard_procurement,"Standard procurement flow including requisition, order, invoice receipt, goods receipt, and payment block removal.",3.0,chronic_rework_outlier,1.0,0.3413519859313965,0.0005645757773891091
V0032,standard_procurement,"Standard procurement sequence with a minor price change, leading cleanly to goods receipt, invoicing, and clearing.",2.0,service_entry_execution,1.0,3.2952211768133566e-05,3.033226130355615e-05
V0033,standard_procurement,"Straightforward procurement path from requisition and order through confirmation, goods receipt, invoicing, and clearing.",3.0,chronic_rework_outlier,1.0,0.0014123888686299324,7.919365452835336e-05
V0034,,"Stops at goods receipt with a quantity change, failing to complete full invoicing or clearing, and does not fit established categories.",,short_cancellation,1.0,,1.7760012269718572e-05
V0035,standard_procurement,"Standard procurement flow with a quantity adjustment, resolving successfully through goods receipt, invoice receipt, and clearing.",2.0,chronic_rework_outlier,1.0,0.0007836273871362209,0.00018052506493404508
V0036,standard_procurement,"Standard procurement cycle with standard confirmations, receipts, invoice, payment block removal, and clearing.",4.0,chronic_rework_outlier,2.0,0.0010585583513602614,9.440597932552919e-05
V0037,short_cancellation,Minimal-length trace ending in the deletion of the purchase order after confirmation.,1.0,standard_procurement,2.0,0.016959665343165398,0.032679151743650436
V0038,standard_procurement,"Typical procurement process with requisition, order, confirmation, invoicing, goods receipt, and invoice clearing.",2.0,chronic_rework_outlier,2.0,6.49685098323971e-05,4.0480290408595465e-07
V0039,,Incomplete trace ending at goods receipt without invoice recording or clearing.,,short_cancellation,1.0,,0.00014468474546447396
V0040,standard_procurement,"Standard procurement path with confirmation, vendor invoice, goods receipt, invoice receipt, payment block removal, and clearing.",2.0,chronic_rework_outlier,2.0,0.0009598589967936277,4.293401161703514e-06
V0041,standard_procurement,"Standard procurement cycle containing a quantity change, goods receipt, invoice, payment block removal, and clearing.",3.0,chronic_rework_outlier,1.0,0.005360533948987722,0.00015155148867052048
V0042,,"Variant features repeated goods receipt events, which does not fit standard single-receipt paths or any other specific category.",,short_cancellation,1.0,,0.0002181693707825616
V0043,standard_procurement,"Standard procurement path including requisition, order, confirmation, goods receipt, invoice receipt, and payment block removal.",4.0,chronic_rework_outlier,2.0,0.33987554907798767,0.0009118618909269571
V0044,standard_procurement,"Standard procurement flow with price adjustments, goods receipt, invoice receipt, payment block removal, and clearing.",3.0,chronic_rework_outlier,1.0,0.0014602738665416837,0.00012707871792372316
V0045,standard_procurement,Standard procurement sequence from order creation to invoice receipt and payment block removal.,2.0,chronic_rework_outlier,1.0,0.34265002608299255,0.0018626133678480983
V0046,standard_procurement,Standard procurement flow from requisition and order to confirmation and goods receipt.,5.0,short_cancellation,1.0,0.3531167805194855,0.0004101817903574556
V0047,standard_procurement,"Standard procurement process with quantity change, vendor invoice, goods receipt, invoice receipt, and payment block removal leading to clearing.",2.0,chronic_rework_outlier,1.0,0.0042368206195533276,3.2332853152183816e-05
V0048,standard_procurement,"Standard procurement cycle with order, goods receipt, vendor invoice, invoice receipt, and payment block removal.",2.0,service_entry_execution,1.0,0.3419119417667389,0.0011245384812355042
V0049,standard_procurement,"Standard procurement flow involving order, confirmation, vendor invoice, invoice receipt, goods receipt, payment block removal, and clearing.",3.0,chronic_rework_outlier,1.0,5.980520199955208e-06,8.600470209785271e-06
V0050,standard_procurement,"Standard procurement sequence with requisition, order, invoice receipt, vendor invoice, goods receipt, payment block removal, and clearing.",3.0,chronic_rework_outlier,2.0,0.009270905517041683,8.216915739467368e-05
V0051,standard_procurement,"Shows a straightforward procurement path with order confirmation, goods receipt, and invoice recording.",2.0,chronic_rework_outlier,2.0,0.3555994927883148,0.00033132859971374273
V0052,standard_procurement,"Standard procurement flow ending in invoice clearing, with a repeated goods receipt.",2.0,service_entry_execution,1.0,0.33472940325737,4.557596639642725e-06
V0053,standard_procurement,"Typical procurement cycle involving requisition, order, invoice, goods receipt, and payment block removal.",5.0,chronic_rework_outlier,2.0,0.35474494099617004,0.013957556337118149
V0054,short_cancellation,Very short trace length involving purchase order creation and approval changes without further processing.,2.0,service_entry_execution,2.0,0.3561849892139435,0.029928341507911682
V0055,short_cancellation,Short trace concluding with the deletion of the purchase order item.,2.0,standard_procurement,1.0,0.015105225145816803,0.03082471340894699
V0056,standard_procurement,Standard procurement process with normal steps leading to clear invoice.,3.0,chronic_rework_outlier,2.0,0.001004880527034402,4.0728064050199464e-05
V0057,standard_procurement,"Standard cycle including requisition, purchase order, goods receipt, invoice, and payment block removal.",3.0,chronic_rework_outlier,1.0,0.3405139446258545,0.0002734724257607013
V0058,standard_procurement,Standard procurement process concluding with clearing of the invoice.,2.0,chronic_rework_outlier,1.0,0.008914202451705933,0.00023106631124392152
V0059,standard_procurement,Standard procurement cycle with standard invoice clearing.,3.0,chronic_rework_outlier,1.0,3.5783126804744825e-05,2.959018456749618e-05
V0060,standard_procurement,Standard procurement process with a price change followed by normal receipt and clearing.,3.0,chronic_rework_outlier,1.0,0.007988139986991882,4.09215817853692e-06
V0061,standard_procurement,Standard procurement cycle with quantity changes and normal clearing.,3.0,chronic_rework_outlier,1.0,0.0034291937481611967,0.0001212942079291679
V0062,service_entry_execution,Features the recording of a service entry sheet alongside goods receipt and invoice activities.,28.0,standard_procurement,1.0,0.7775249481201172,3.975746039941441e-06
V0063,standard_procurement,Straightforward procurement path ending in goods receipt.,5.0,short_cancellation,1.0,0.3498224914073944,2.690551627893001e-05
V0064,service_entry_execution,"Involves recording of a service entry sheet, characterizing service-oriented procurement.",28.0,short_cancellation,1.0,0.798344612121582,0.25514328479766846
V0065,srm_transfer_failure,Originates in Supplier Relationship Management (SRM) with complete status progression and transfer to execution.,0.0,service_entry_execution,1.0,0.00614169193431735,1.5378599300674978e-06
V0066,standard_procurement,Typical procurement and invoice clearing flow.,3.0,service_entry_execution,1.0,0.0014054904459044337,1.0589758858259302e-05
V0067,standard_procurement,Standard procurement flow with a price change and final clearing.,2.0,chronic_rework_outlier,2.0,0.0035506596323102713,2.2374335458152927e-05
V0068,short_cancellation,Extremely short trace consisting only of order creation and change approval.,2.0,standard_procurement,1.0,0.4305473268032074,0.10429065674543381
V0069,standard_procurement,Standard procurement process with subsequent price changes and invoice clearing.,3.0,srm_transfer_failure,1.0,0.0036044754087924957,3.7326488381950185e-05
V0070,standard_procurement,"Standard procurement cycle featuring invoice receipt, goods receipt, and payment block removal.",4.0,chronic_rework_outlier,2.0,0.37605512142181396,0.035267721861600876
V0071,short_cancellation,Minimal-length trace with purchase order creation and delivery indicator change.,2.0,service_entry_execution,2.0,0.3435509204864502,0.001142079010605812
V0072,standard_procurement,Standard procurement flow featuring standard invoicing and price changes.,2.0,service_entry_execution,1.0,0.002525161486119032,6.107904482632875e-05
V0073,standard_procurement,Straightforward procurement cycle ending with goods receipt.,5.0,short_cancellation,1.0,0.35013195872306824,0.0002825835545081645
V0074,standard_procurement,Standard procurement and invoicing sequence.,4.0,chronic_rework_outlier,1.0,0.0023857364431023598,1.2538870350908837e-06
V0075,standard_procurement,"Typical procurement cycle with order confirmation, goods receipt, and payment block removal.",3.0,chronic_rework_outlier,2.0,0.3411037027835846,0.00031628625583834946
V0076,standard_procurement,"Follows a straightforward procurement path with purchase order creation, goods receipt, and invoice receipt.",3.0,chronic_rework_outlier,1.0,0.3394894301891327,0.0007848102250136435
V0077,standard_procurement,"Typical procurement sequence from requisition, purchase order, goods receipt, to invoice receipt.",3.0,chronic_rework_outlier,2.0,0.34108683466911316,0.000980180804617703
V0078,standard_procurement,"Represents a normal purchasing cycle involving invoice creation, order item, approval, and invoice receipt.",5.0,short_cancellation,2.0,0.35673412680625916,0.0004176685761194676
