variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,"The case results in Send for Credit Collection without payment or appeal resolution, falling outside the defined taxonomy categories.",,timely_payment,1.0,,0.0017314013093709946
V0002,timely_payment,The fine is resolved directly via a timely payment immediately after creation.,4.0,merged_closure,1.0,0.5641624927520752,0.15407751500606537
V0003,,"The narrative ends at Send Fine without any payment or appeal conclusion, so it does not fit the taxonomy categories.",,timely_payment,1.0,,0.002686103107407689
V0004,timely_payment,The case is resolved through fine payment following standard notification and penalty steps.,1.0,judicial_appeal_judge,1.0,0.3372873067855835,0.0022953625302761793
V0005,timely_payment,"Resolution achieved via payment, advancing timely fine revenue.",0.0,judicial_appeal_judge,1.0,0.019592832773923874,0.0007711097714491189
V0006,timely_payment,"Resolution achieved via payment, matching timely payment realization.",2.0,judicial_appeal_judge,1.0,0.030158253386616707,0.011336530558764935
V0007,timely_payment,Quick resolution through fine payment.,3.0,merged_closure,1.0,0.40674248337745667,0.00334247131831944
V0008,administrative_appeal_prefecture,"The process involves submitting an appeal to the Prefecture, realizing the administrative appeal category.",2.0,timely_payment,1.0,0.3584926426410675,0.019759653136134148
V0009,,"Despite a partial payment, the case ultimately ends up sent for credit collection, failing to resolve successfully via payment or appeal.",,timely_payment,1.0,,0.00039125734474509954
V0010,,"The case ends with Send for Credit Collection, which does not fit any successful resolution category.",,timely_payment,1.0,,0.0023278126027435064
V0011,administrative_appeal_prefecture,The process leads to sending an appeal to the Prefecture.,3.0,timely_payment,1.0,0.3525433838367462,0.025708891451358795
V0012,,"The sequence involves payment followed by sending the fine, which does not map cleanly to standard resolution paths.",,timely_payment,1.0,,0.02757914364337921
V0013,administrative_appeal_prefecture,The case involves an administrative appeal to the Prefecture concluding with a result notification and payment.,2.0,judicial_appeal_judge,1.0,0.00016303516167681664,0.0031689032912254333
V0014,judicial_appeal_judge,"The process includes an appeal to the Judge, realizing the judicial appeal category.",4.0,timely_payment,1.0,0.005550093483179808,0.0032684020698070526
V0015,administrative_appeal_prefecture,The case path represents an administrative appeal to the Prefecture.,4.0,timely_payment,1.0,0.37942245602607727,0.0011701901676133275
V0016,administrative_appeal_prefecture,The case is processed through an administrative appeal to the Prefecture and eventually paid.,2.0,judicial_appeal_judge,1.0,0.007880770601332188,0.00037261247052811086
V0017,judicial_appeal_judge,"Involves an appeal to the Judge, though it ultimately concludes with credit collection.",4.0,timely_payment,2.0,0.3653998374938965,0.0004219587426632643
