variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,coercive_credit_collection,"The case ends with Send for Credit Collection after penalties and long delays, matching coercive credit collection.",2.0,delinquent_payment,1.0,0.015612207353115082,0.02396118827164173
V0002,timely_payment,The case is resolved immediately through early payment after fine creation.,6.0,delinquent_payment,2.0,0.5607525706291199,0.17887108027935028
V0003,,"The case ends with Send Fine and has no final payment, appeal, or collection step, thus remaining in the residual category.",,timely_payment,1.0,,0.002686103107407689
V0004,delinquent_payment,"Payment occurs after penalties and notifications have been initiated, matching delinquent payment.",1.0,coercive_credit_collection,1.0,0.345984548330307,6.770990876248106e-05
V0005,delinquent_payment,"Payment occurs after notification and penalty additions, representing delinquent payment with repeated payment steps.",0.0,coercive_credit_collection,1.0,0.010895587503910065,0.0028145748656243086
V0006,delinquent_payment,"Payment happens after fine notification and penalty application, fitting delinquent payment.",2.0,coercive_credit_collection,1.0,0.021461008116602898,0.004125290084630251
V0007,timely_payment,"Payment is made relatively early after sending the fine, without penalties or enforcement.",5.0,delinquent_payment,1.0,0.40333259105682373,0.021451078355312347
V0008,administrative_appeal,The case involves an appeal process directed to the Prefecture.,2.0,delinquent_payment,1.0,0.3478030264377594,0.03312566503882408
V0009,coercive_credit_collection,"Despite an intermediate payment, the case ultimately ends with coercive credit collection.",2.0,delinquent_payment,1.0,0.016952350735664368,0.025301335379481316
V0010,coercive_credit_collection,The case terminates with Send for Credit Collection after multiple steps.,3.0,delinquent_payment,1.0,0.020879292860627174,0.029228277504444122
V0011,administrative_appeal,Includes the submission of an appeal to the Prefecture.,3.0,timely_payment,1.0,0.3418537676334381,0.03907490521669388
V0012,,"The case concludes with Send Fine after an initial payment, which does not fit standard fine resolution categories cleanly.",,timely_payment,1.0,,0.02757914364337921
V0013,administrative_appeal,The case goes through the administrative appeal process to the Prefecture before culminating in payment.,2.0,coercive_credit_collection,1.0,0.010526574216783047,0.0031689032912254333
V0014,judicial_appeal,The case involves an appeal to a Judge before being resolved by payment.,4.0,delinquent_payment,1.0,0.006467930506914854,0.0032684020698070526
V0015,administrative_appeal,Involves administrative appeal steps directed to the Prefecture.,4.0,judicial_appeal,1.0,0.36873289942741394,0.012195822782814503
V0016,administrative_appeal,Resolves via payment after going through an administrative appeal to the Prefecture.,2.0,coercive_credit_collection,1.0,0.0028088379185646772,0.00037261247052811086
V0017,coercive_credit_collection,Involves a judicial appeal followed eventually by coercive credit collection.,3.0,judicial_appeal,1.0,0.011320621706545353,0.002971639158204198
