variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,coercive_credit_collection,"The case involves sending the fine for credit collection after penalties and notifications, realizing coercive credit collection.",2.0,delinquent_payment,1.0,0.015612207353115082,0.02396118827164173
V0002,timely_payment,The case is resolved promptly through direct payment after creation without penalties or appeals.,1.0,judicial_appeal,2.0,0.4847702980041504,0.17589472234249115
V0003,,"The case ends after sending the fine without resulting in payment, appeal, or credit collection, falling into the residual.",,timely_payment,1.0,,0.002686103107407689
V0004,delinquent_payment,"Payment is made after notifications and penalties have been added, realizing delinquent payment.",1.0,coercive_credit_collection,1.0,0.34711527824401855,6.770990876248106e-05
V0005,delinquent_payment,"Payment is made after fine notification and penalty addition, matching delinquent payment despite payment rework.",0.0,coercive_credit_collection,1.0,0.009764855727553368,0.0028145748656243086
V0006,delinquent_payment,"Payment occurs after notification and penalty stages, realizing delinquent payment.",2.0,coercive_credit_collection,1.0,0.0203302763402462,0.007750845979899168
V0007,timely_payment,"Payment occurs shortly after fine creation and sending without penalties, fitting timely payment.",0.0,judicial_appeal,1.0,0.33931636810302734,0.018474731594324112
V0008,administrative_appeal,"The narrative includes filing an appeal to the Prefecture, realizing administrative appeal.",1.0,delinquent_payment,1.0,0.3540813624858856,0.008198990486562252
V0009,coercive_credit_collection,"Despite an intermediate payment, the case ultimately ends up sent for credit collection, realizing coercive credit collection.",2.0,delinquent_payment,1.0,0.016952350735664368,0.025301335379481316
V0010,coercive_credit_collection,The case is ultimately sent for coercive credit collection after penalties.,3.0,delinquent_payment,1.0,0.020879292860627174,0.029228277504444122
V0011,administrative_appeal,The case involves an administrative appeal to the Prefecture.,3.0,judicial_appeal,1.0,0.34813210368156433,0.0141482288017869
V0012,,"Unusual sequence starting with payment and then sending fine, falling into the residual.",,timely_payment,1.0,,0.02757914364337921
V0013,administrative_appeal,The case undergoes an administrative appeal process to the Prefecture followed by payment.,2.0,coercive_credit_collection,1.0,0.004248257726430893,0.00016303516167681664
V0014,judicial_appeal,"The case involves an appeal to a Judge, realizing judicial appeal.",4.0,delinquent_payment,1.0,0.006467930506914854,0.0032684020698070526
V0015,administrative_appeal,The narrative features an appeal directed to the Prefecture.,3.0,judicial_appeal,1.0,0.3750112056732178,0.012195822782814503
V0016,administrative_appeal,"The case includes an administrative appeal to the Prefecture, concluding with payment.",3.0,coercive_credit_collection,1.0,0.003469478338956833,0.00039111418300308287
V0017,judicial_appeal,The narrative involves an appeal to a Judge followed by credit collection.,4.0,coercive_credit_collection,1.0,0.36631765961647034,0.00012474872346501797
V0018,delinquent_payment,"Payment is made after notifications and penalties, realizing delinquent payment.",2.0,coercive_credit_collection,1.0,0.020082570612430573,0.00750314025208354
V0019,coercive_credit_collection,"An administrative appeal was processed, but the case ultimately resulted in credit collection.",2.0,administrative_appeal,1.0,0.0017929569585248828,0.006556026171892881
V0020,coercive_credit_collection,The case includes an administrative appeal and is ultimately sent for coercive credit collection.,2.0,administrative_appeal,1.0,0.009584001265466213,0.017932983115315437
V0021,delinquent_payment,"Multiple payments occur after penalties and notifications, representing delinquent payment.",1.0,coercive_credit_collection,1.0,0.02844109572470188,0.0020457857754081488
V0022,administrative_appeal,The case involves an administrative appeal to the Prefecture resulting in subsequent payment.,4.0,coercive_credit_collection,1.0,0.013098791241645813,0.0013636029325425625
V0023,timely_payment,Payment is made promptly around fine creation and sending without penalties.,1.0,judicial_appeal,1.0,0.0,0.011123479343950748
V0024,delinquent_payment,Payment is executed after notifications and penalties are added.,2.0,coercive_credit_collection,1.0,0.02426699362695217,0.0094001991674304
V0025,coercive_credit_collection,The case undergoes an administrative appeal and is eventually escalated to coercive credit collection.,2.0,administrative_appeal,1.0,0.0,0.008348983712494373
V0026,coercive_credit_collection,"The narrative ends with 'Send for Credit Collection' after penalties and notifications, realizing coercive credit collection.",3.0,delinquent_payment,1.0,0.012473203241825104,0.020822186022996902
V0027,judicial_appeal,"The process includes an administrative appeal sequence and ultimately proceeds to 'Appeal to Judge', realizing judicial appeal.",1.0,administrative_appeal,1.0,0.364452600479126,0.33392608165740967
V0028,timely_payment,"The process involves prompt payment shortly after sending the fine, without penalty or administrative escalation, realizing timely payment.",1.0,delinquent_payment,2.0,0.01991354487836361,0.008790065534412861
V0029,judicial_appeal,"The case receives a fine notification and penalties before proceeding directly to 'Appeal to Judge', realizing judicial appeal.",3.0,coercive_credit_collection,1.0,0.38958659768104553,0.3334622085094452
V0030,administrative_appeal,"The narrative covers the full administrative appeal process to the Prefecture, ending with 'Notify Result Appeal to Offender'.",2.0,coercive_credit_collection,1.0,0.3452891409397125,0.008482392877340317
V0031,judicial_appeal,"The case involves an appeal to a judge after penalties, followed eventually by payment, realizing judicial appeal.",4.0,delinquent_payment,1.0,0.014748959802091122,0.005012627691030502
V0032,administrative_appeal,"The process involves an administrative appeal to the Prefecture, ending with the result received from the Prefecture.",3.0,delinquent_payment,1.0,0.3607853651046753,0.016697769984602928
V0033,judicial_appeal,"The case goes through administrative appeal steps and subsequently 'Appeal to Judge' before payment, realizing judicial appeal.",2.0,administrative_appeal,1.0,0.0009178369655273855,0.00045500797568820417
V0034,administrative_appeal,The case executes the administrative appeal process to the Prefecture and finishes with the result notification.,4.0,coercive_credit_collection,1.0,0.3404230773448944,0.003616329049691558
V0035,judicial_appeal,"The case completes administrative appeal steps and culminates in 'Appeal to Judge', realizing judicial appeal.",1.0,administrative_appeal,1.0,0.36926940083503723,0.3336153030395508
V0036,delinquent_payment,"The case receives fine notification and adds penalties, followed by payments, realizing delinquent payment.",2.0,coercive_credit_collection,1.0,0.0204396340996027,0.007860205136239529
V0037,judicial_appeal,"The process includes an appeal to the judge following fine notification, leading eventually to payment, realizing judicial appeal.",4.0,delinquent_payment,1.0,0.35615968704223633,0.00041855929885059595
V0038,administrative_appeal,The narrative details an administrative appeal to the Prefecture concluding with the receipt of the result.,1.0,delinquent_payment,1.0,0.34431394934654236,0.00022634101333096623
V0039,delinquent_payment,"The case goes through fine notification, penalty addition, and administrative appeal steps before delinquent payment is made.",3.0,administrative_appeal,1.0,0.3441627025604248,5.510637038241839e-06
V0040,coercive_credit_collection,"The narrative includes fine notification, penalty addition, and judicial appeal before escalating to 'Send for Credit Collection'.",2.0,judicial_appeal,1.0,0.011195872910320759,0.00012474872346501797
V0041,delinquent_payment,"The case involves administrative appeal steps, penalty addition, and notification before payment is finally made.",4.0,coercive_credit_collection,1.0,0.3436912000179291,0.0017474755877628922
V0042,delinquent_payment,The case undergoes administrative appeal and penalty addition before concluding with payment.,3.0,administrative_appeal,1.0,0.3334890902042389,0.00016303516167681664
V0043,coercive_credit_collection,"The case involves fine notification, penalty addition, and ultimately resolves via coercive credit collection.",3.0,delinquent_payment,1.0,0.018551481887698174,0.026900462806224823
V0044,delinquent_payment,"The narrative shows payment occurring after fine notification and penalty addition, realizing delinquent payment.",1.0,judicial_appeal,1.0,0.008993745781481266,0.002809768309816718
