variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,This variant ends at ER Sepsis Triage and does not involve any inpatient ward admission.,,admission_nc,2.0,,0.3891150653362274
V0002,,This variant only performs diagnostic tests and does not include an inpatient ward admission.,,admission_nc,1.0,,0.37631967663764954
V0003,,This variant consists of emergency diagnostics without reaching an inpatient admission stage.,,admission_nc,2.0,,0.3832360804080963
V0004,,"This variant covers initial emergency treatment and IV antibiotics, but stops before any ward admission.",,admission_nc,1.0,,0.0398164764046669
V0005,,This variant represents outpatient or emergency workup without subsequent inpatient admission.,,admission_nc,1.0,,0.37761950492858887
V0006,,This variant provides emergency stabilization and antibiotics in the ER without admitting the patient.,,admission_nc,2.0,,0.017360536381602287
V0007,,This variant handles acute care and antibiotic administration in the ER without an inpatient admission step.,,admission_nc,1.0,,0.010318686254322529
V0008,admission_nc,"This variant includes the 'Admission NC' activity, representing admission to a non-critical inpatient ward.",7.0,admission_ic,3.0,0.36189985275268555,0.33436235785484314
V0009,,This variant concludes with IV antibiotics in the emergency setting and lacks ward admission.,,admission_nc,2.0,,0.02844727225601673
V0010,,This variant reflects emergency pathway activities without proceeding to an inpatient ward.,,admission_nc,2.0,,0.3388270139694214
V0011,,This variant focuses on emergency treatment and IV antibiotics without an inpatient admission.,,admission_nc,1.0,,0.013468634337186813
V0012,,This variant stays entirely within the emergency and diagnostic phase.,,admission_nc,2.0,,0.07379884272813797
V0013,,This variant involves preliminary blood tests and diagnostic evaluations without admission.,,admission_nc,3.0,,0.367016464471817
V0014,admission_nc,"This variant proceeds through diagnostics and includes 'Admission NC', realizing non-critical ward admission.",6.0,admission_ic,4.0,0.3577549159526825,0.333757609128952
V0015,admission_nc,"This variant contains 'Admission NC', denoting admission to a non-critical inpatient ward.",5.0,admission_ic,4.0,0.03566834703087807,0.12278217077255249
V0016,admission_nc,"This variant explicitly includes 'Admission NC' followed by release, realizing non-critical ward admission.",5.0,admission_ic,4.0,0.023234130814671516,0.11187426000833511
V0017,,This variant is restricted to initial emergency triage and tests.,,admission_nc,2.0,,0.36712613701820374
V0018,admission_nc,"This variant includes 'Admission NC', supporting general inpatient treatment flow.",7.0,admission_ic,4.0,0.3568616807460785,0.3338022530078888
V0019,,This variant finishes with IV antibiotics in the ER phase.,,admission_nc,3.0,,0.028952397406101227
V0020,,This variant consists solely of ER diagnostics and initial interventions.,,admission_nc,3.0,,0.3788929879665375
V0021,admission_nc,This variant features 'Admission NC' before subsequent release and return to the ER.,5.0,admission_ic,6.0,0.3730107843875885,0.11683540791273117
V0022,admission_nc,"This variant contains 'Admission NC', representing admission to a non-critical inpatient ward.",6.0,admission_ic,4.0,0.3563199043273926,0.3343440592288971
V0023,admission_nc,This variant includes 'Admission NC' prior to release and a later return to the ER.,6.0,admission_ic,6.0,0.37762269377708435,0.11678526550531387
V0024,admission_nc,"This variant culminates in 'Admission NC', directly realizing non-critical ward admission.",7.0,admission_ic,4.0,0.79412841796875,0.700086772441864
V0025,,This variant deals with emergency care and IV antibiotics without an inpatient admission activity.,,admission_nc,2.0,,0.01594679243862629
V0026,admission_nc,This variant includes 'Admission NC' as part of the inpatient treatment journey.,7.0,admission_ic,5.0,0.5199500918388367,0.22407883405685425
V0027,,This variant stops at IV antibiotics in the emergency setting.,,admission_nc,3.0,,0.011120502837002277
V0028,admission_nc,This variant features 'Admission NC' during the inpatient phase of treatment.,5.0,admission_ic,5.0,0.4048873484134674,0.1115245446562767
V0029,,This variant is limited to emergency diagnostics and lab work.,,admission_nc,2.0,,0.36965814232826233
V0030,admission_nc,"This variant includes 'Admission NC', representing a stay in a non-critical ward.",5.0,admission_ic,5.0,0.024563884362578392,0.11167770624160767
V0031,,This variant concludes with emergency blood work (LacticAcid) without admission.,,admission_nc,3.0,,0.3540477454662323
V0032,admission_nc,This variant incorporates 'Admission NC' for inpatient care before final release and return.,5.0,admission_ic,5.0,0.35336101055145264,0.11289012432098389
V0033,admission_nc,"This variant contains 'Admission NC', realizing non-critical ward admission.",7.0,admission_ic,6.0,0.5885335206985474,0.22583316266536713
V0034,,This variant only covers emergency procedures and IV fluid administration.,,admission_nc,2.0,,0.01565026491880417
V0035,admission_nc,"This variant includes 'Admission NC', denoting admission to a non-critical inpatient ward.",4.0,admission_ic,4.0,0.0025110591668635607,0.11212173849344254
V0036,,This variant represents ER-level diagnostics and treatment without admission.,,admission_nc,3.0,,0.38420066237449646
V0037,admission_nc,This variant includes 'Admission NC' followed by release B.,8.0,admission_ic,4.0,0.6988272070884705,0.3478574752807617
V0038,,This variant is restricted to emergency care and IV antibiotics.,,admission_nc,3.0,,0.012487771920859814
V0039,admission_nc,This variant contains 'Admission NC' activities representing non-critical ward stays.,4.0,admission_ic,6.0,0.11471235752105713,0.08835064619779587
V0040,admission_nc,"This variant ends with 'Admission NC', realizing non-critical ward admission.",7.0,admission_ic,3.0,0.7805387377738953,0.686497151851654
