variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative stops at ER Sepsis Triage and does not reach ward routing or discharge disposition.,,admission_ward_routing,2.0,,0.3891150653362274
V0002,,The narrative ends at CRP testing during the diagnostic phase and does not involve ward admission or discharge.,,admission_ward_routing,1.0,,0.09060267359018326
V0003,,The narrative concludes with Leucocytes testing in the ER without proceeding to admission or discharge.,,admission_ward_routing,1.0,,0.3832360804080963
V0004,,The narrative stops at IV Antibiotics administration in the emergency phase without ward routing or discharge.,,admission_ward_routing,1.0,,0.0398164764046669
V0005,,The narrative ends with LacticAcid testing and does not reach downstream clinical pathways.,,admission_ward_routing,1.0,,0.37761950492858887
V0006,,The narrative concludes with IV Antibiotics and does not involve admission or final disposition.,,discharge_disposition,2.0,,0.017360536381602287
V0007,,The narrative stops at IV Antibiotics administration in the ER without proceeding to admission or release.,,admission_ward_routing,1.0,,0.010318686254322529
V0008,discharge_disposition,"The narrative includes Admission NC followed by Release A, which represents a captured discharge disposition route.",8.0,admission_ward_routing,1.0,0.7035253643989563,0.0021812545601278543
V0009,,The narrative ends with IV Antibiotics during emergency treatment without further routing or disposition.,,discharge_disposition,2.0,,0.02844727225601673
V0010,,The narrative terminates at ER Sepsis Triage and does not progress toward admission or discharge.,,admission_ward_routing,2.0,,0.3388270139694214
V0011,,The narrative concludes with IV Antibiotics administration and does not reach ward admission or release.,,admission_ward_routing,1.0,,0.013468634337186813
V0012,,The narrative stops at IV Antibiotics in the emergency department without inpatient routing or discharge.,,admission_ward_routing,2.0,,0.07379884272813797
V0013,,"The narrative ends with Leucocytes testing in the ER, remaining entirely within the diagnostic phase.",,admission_ward_routing,2.0,,0.367016464471817
V0014,discharge_disposition,"The narrative records Admission NC leading into Release A, capturing the final discharge disposition.",9.0,admission_ward_routing,1.0,0.6993803977966309,0.000767590943723917
V0015,discharge_disposition,"The narrative proceeds through Admission NC to Release A, fulfilling the discharge disposition category.",5.0,admission_ward_routing,1.0,0.3772939145565033,0.0017522848211228848
V0016,discharge_disposition,"The narrative involves an inpatient stay (Admission NC) and terminates with Release A, representing discharge disposition.",5.0,admission_ward_routing,1.0,0.3648596704006195,0.00015841257118154317
V0017,,The narrative terminates at ER Sepsis Triage and does not involve ward routing or discharge.,,admission_ward_routing,2.0,,0.36712613701820374
V0018,discharge_disposition,"The narrative includes Admission NC followed by Release A, completing the discharge disposition pathway.",5.0,admission_ward_routing,1.0,0.6984872817993164,0.00012561735638882965
V0019,,The narrative ends at IV Antibiotics without reaching inpatient admission or final release.,,admission_ward_routing,3.0,,0.028952397406101227
V0020,,The narrative concludes with CRP testing in the ER without proceeding to admission or discharge.,,admission_ward_routing,3.0,,0.09317597001791
V0021,discharge_disposition,"The narrative shows Admission NC, Release A, and subsequently Return ER, fully capturing the discharge disposition route.",4.0,admission_ward_routing,2.0,0.03138524666428566,0.0006282883114181459
V0022,discharge_disposition,"The narrative includes Admission NC and concludes with Release A, representing the discharge disposition.",7.0,admission_ward_routing,1.0,0.6979454159736633,0.00066740857437253
V0023,discharge_disposition,"The narrative details Admission NC, Release A, and a subsequent Return ER, realizing the discharge disposition.",6.0,admission_ward_routing,1.0,0.03599714860320091,0.00020539744582492858
V0024,admission_ward_routing,"The narrative concludes with Admission NC, directly realizing the non-critical inpatient ward routing alternative.",7.0,discharge_disposition,2.0,0.7910642027854919,0.3410704433917999
V0025,,The narrative stops at IV Antibiotics in the emergency department without inpatient routing or discharge.,,admission_ward_routing,2.0,,0.01594679243862629
V0026,discharge_disposition,"The narrative includes Admission NC and Release A followed by Return ER, capturing the discharge disposition.",5.0,admission_ward_routing,1.0,0.17832452058792114,0.04745088890194893
V0027,,The narrative terminates at IV Antibiotics without progressing to admission or release.,,admission_ward_routing,3.0,,0.011120502837002277
V0028,discharge_disposition,"The narrative progresses through Admission NC to Release A and Return ER, realizing the discharge disposition.",4.0,admission_ward_routing,1.0,0.06326182186603546,0.0034038142766803503
V0029,,The narrative ends with Leucocytes testing and does not reach admission or discharge stages.,,admission_ward_routing,2.0,,0.36965814232826233
V0030,discharge_disposition,"The narrative includes Admission NC followed by Release A, capturing the discharge disposition.",3.0,admission_ward_routing,1.0,0.36618945002555847,0.00011264110798947513
V0031,,The narrative concludes with LacticAcid testing in the ER without ward routing or disposition.,,admission_ward_routing,3.0,,0.3540477454662323
V0032,discharge_disposition,"The narrative shows Admission NC, Release A, and Return ER, fulfilling the discharge disposition category.",5.0,admission_ward_routing,2.0,0.011735476553440094,5.056213922216557e-05
V0033,discharge_disposition,"The narrative includes Admission NC, Release A, and Return ER, representing the captured discharge disposition.",3.0,admission_ward_routing,2.0,0.24690796434879303,0.010605152696371078
V0034,,The narrative ends at IV Liquid administration without proceeding to inpatient admission or discharge.,,discharge_disposition,2.0,,0.01565026491880417
V0035,discharge_disposition,"The narrative progresses through Admission NC to Release A, realizing the discharge disposition category.",4.0,admission_ward_routing,1.0,0.3441365957260132,9.696097549749538e-05
V0036,,The narrative terminates at CRP testing in the ER without further clinical routing or discharge.,,admission_ward_routing,3.0,,0.09848365187644958
V0037,discharge_disposition,"The narrative includes Admission NC and concludes with Release B, capturing the discharge disposition route.",9.0,admission_ward_routing,2.0,0.7071194648742676,0.0065433369018137455
V0038,,The narrative stops at IV Antibiotics in the emergency department without reaching admission or discharge.,,discharge_disposition,3.0,,0.012487771920859814
V0039,discharge_disposition,"The narrative involves Admission NC and terminates with Release A, fulfilling the discharge disposition.",5.0,admission_ward_routing,2.0,0.45633792877197266,0.0005369993159547448
V0040,admission_ward_routing,"The narrative concludes with Admission NC, directly realizing the non-critical inpatient ward routing.",7.0,discharge_disposition,1.0,0.777474582195282,0.3391858637332916
V0041,discharge_disposition,"The narrative includes Admission NC followed by Release A, capturing the discharge disposition.",5.0,admission_ward_routing,1.0,0.4799858033657074,0.00026427218108437955
V0042,discharge_disposition,"The narrative records Admission NC leading to Release A, realizing the discharge disposition category.",5.0,admission_ward_routing,1.0,0.36750057339668274,4.5530483475886285e-05
V0043,,The narrative ends with LacticAcid testing in the ER without ward admission or discharge.,,discharge_disposition,2.0,,0.36644890904426575
V0044,discharge_disposition,"The narrative includes Admission NC and terminates with Release A, capturing the discharge disposition.",5.0,admission_ward_routing,1.0,0.37058112025260925,0.00030982462340034544
V0045,discharge_disposition,"The narrative shows Admission NC, Release A, and Return ER, fulfilling the discharge disposition category.",7.0,admission_ward_routing,2.0,0.3728661835193634,0.002805172698572278
V0046,discharge_disposition,"The narrative proceeds through Admission NC to Release A, realizing the discharge disposition.",3.0,admission_ward_routing,1.0,0.3519318103790283,0.0006053470424376428
V0047,discharge_disposition,"The narrative includes Admission NC followed by Release A, capturing the discharge disposition.",7.0,admission_ward_routing,1.0,0.7187122702598572,0.0005718793836422265
V0048,discharge_disposition,"The narrative records Admission NC and concludes with Release A, realizing the discharge disposition.",5.0,admission_ward_routing,1.0,0.3545794188976288,0.00023297588631976396
V0049,discharge_disposition,"The narrative includes Admission NC, Release A, and Return ER, capturing the discharge disposition.",6.0,admission_ward_routing,3.0,0.08735216408967972,0.002381053986027837
V0050,,The narrative terminates at CRP testing in the ER without proceeding to admission or discharge.,,admission_ward_routing,1.0,,0.08461222797632217
V0051,discharge_disposition,"The narrative concludes with Release A, realizing the captured discharge disposition goal axis.",4.0,admission_ward_routing,1.0,0.46864914894104004,1.4275125295171165e-06
V0052,discharge_disposition,"The narrative involves discharge followed by an ER return, mapping to discharge disposition outcomes.",4.0,admission_ward_routing,2.0,0.06441688537597656,0.0022487526293843985
V0053,admission_ward_routing,The narrative explicitly routes the patient through Admission NC.,8.0,discharge_disposition,2.0,0.37692561745643616,0.0009260631049983203
V0054,discharge_disposition,"The pathway concludes via Release A and subsequent Return ER, representing discharge disposition.",2.0,admission_ward_routing,2.0,0.03686481714248657,0.0006520826718769968
V0055,discharge_disposition,"The trace concludes through release and return to the ER, matching discharge disposition alternatives.",4.0,admission_ward_routing,1.0,0.15971370041370392,0.00028784008463844657
V0056,,The process terminates at IV Antibiotics without reaching ward routing or discharge disposition.,,admission_ward_routing,2.0,,0.04364530369639397
V0057,admission_ward_routing,The narrative contains an admission step to NC ward.,7.0,discharge_disposition,2.0,0.3745943307876587,0.0005718793836422265
V0058,admission_ward_routing,The patient is routed to a non-critical ward via Admission NC.,7.0,discharge_disposition,1.0,0.36934903264045715,0.004673418588936329
