variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,This narrative stops at ER Sepsis Triage and does not involve admission to a non-critical inpatient ward.,,admission_nc,2.0,,0.3891150653362274
V0002,,This narrative ends at CRP testing during the ER phase without admission to a non-critical inpatient ward.,,admission_nc,1.0,,0.37631967663764954
V0003,,This narrative ends with Leucocytes testing in the ER and does not involve inpatient admission.,,admission_nc,2.0,,0.3832360804080963
V0004,,This narrative concludes with IV Antibiotics administration in the ER and does not involve inpatient admission.,,admission_nc,1.0,,0.0398164764046669
V0005,,This narrative concludes with LacticAcid testing in the ER without proceeding to inpatient admission.,,admission_nc,1.0,,0.37761950492858887
V0006,,This narrative finishes with IV Antibiotics treatment in the ER and lacks an inpatient admission step.,,admission_nc,2.0,,0.017360536381602287
V0007,,This narrative stops at IV Antibiotics administration in the ER without any non-critical inpatient admission.,,admission_nc,1.0,,0.010318686254322529
V0008,admission_nc,"This narrative includes the 'Admission NC' activity, realizing the admission to a non-critical inpatient ward and proceeding to release.",7.0,,,0.3643254339694977,
V0009,,This narrative ends with IV Antibiotics in the ER and does not advance to inpatient admission.,,admission_nc,2.0,,0.02844727225601673
V0010,,This narrative involves ER assessment steps but does not result in an inpatient admission.,,admission_nc,2.0,,0.3388270139694214
V0011,,This narrative ends with IV Antibiotics in the ER and does not contain any inpatient admission activities.,,admission_nc,1.0,,0.013468634337186813
V0012,,This narrative concludes with IV Antibiotics inside the ER workflow without reaching inpatient admission.,,admission_nc,2.0,,0.07379884272813797
V0013,,This narrative stops at Leucocytes testing during the ER stage and does not progress to inpatient admission.,,admission_nc,3.0,,0.367016464471817
V0014,admission_nc,"This narrative includes 'Admission NC', representing admission to a non-critical inpatient ward prior to release.",6.0,,,0.36018046736717224,
V0015,admission_nc,"This narrative explicitly contains 'Admission NC', realizing admission to a non-critical inpatient ward.",5.0,,,0.03809391334652901,
V0016,admission_nc,"This narrative contains 'Admission NC', marking the admission to a non-critical inpatient ward before subsequent tests and release.",5.0,,,0.025659695267677307,
V0017,,This narrative is confined to initial ER evaluations and does not feature inpatient admission.,,admission_nc,2.0,,0.36712613701820374
V0018,admission_nc,"This narrative features 'Admission NC', advancing the workflow to a non-critical inpatient ward.",7.0,,,0.3592872619628906,
V0019,,This narrative ends with IV Antibiotics in the ER and does not proceed to inpatient admission.,,admission_nc,3.0,,0.028952397406101227
V0020,,This narrative terminates at CRP testing in the ER without advancing to inpatient admission.,,admission_nc,3.0,,0.3788929879665375
