variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative ends at ER Sepsis Triage without any admission to an inpatient ward or high-dependency unit.,,admission_nc,2.0,,0.3891150653362274
V0002,,The narrative stops at diagnostic tests (CRP) and does not show an inpatient admission.,,admission_nc,1.0,,0.37631967663764954
V0003,,The narrative concludes with blood tests (Leucocytes) and lacks any ward admission step.,,admission_nc,2.0,,0.3832360804080963
V0004,,The process terminates at IV Antibiotics treatment in the emergency setting without subsequent admission.,,admission_nc,1.0,,0.0398164764046669
V0005,,"The patient receives diagnostic work up ending in LacticAcid, with no inpatient admission recorded.",,admission_nc,1.0,,0.37761950492858887
V0006,,The variant finishes upon administering IV Antibiotics in the ER without proceeding to admission.,,admission_nc,2.0,,0.017360536381602287
V0007,,The narrative involves ER diagnostics and IV Antibiotics treatment but no admission to a ward.,,admission_nc,1.0,,0.010318686254322529
V0008,admission_nc,"The narrative explicitly includes the 'Admission NC' activity, realizing admission to a normal care inpatient ward.",7.0,admission_ic,3.0,0.36189985275268555,0.33790257573127747
V0009,,"The sequence consists of ER care and treatment with IV Antibiotics, stopping short of an inpatient admission.",,admission_nc,2.0,,0.02844727225601673
V0010,,"This sequence handles initial ER evaluation and tests, concluding at ER Sepsis Triage without ward admission.",,admission_nc,2.0,,0.3388270139694214
V0011,,"The narrative covers ER assessment, labs, and IV antibiotics, but does not contain an admission step.",,admission_nc,1.0,,0.013468634337186813
V0012,,The variant ends with IV Antibiotics administration in the ER department without an inpatient admission.,,admission_nc,2.0,,0.07379884272813797
V0013,,The sequence stops at diagnostic lab work (Leucocytes) with no admission activity present.,,admission_nc,3.0,,0.367016464471817
V0014,admission_nc,"The narrative explicitly contains the 'Admission NC' activity, representing admission to normal care.",6.0,admission_ic,4.0,0.3577549159526825,0.333757609128952
V0015,admission_nc,"The narrative features the 'Admission NC' activity followed by release, realizing normal care admission.",5.0,admission_ic,4.0,0.03566834703087807,0.02639090269804001
V0016,admission_nc,"The narrative includes the 'Admission NC' activity, corresponding to admission to a normal care inpatient ward.",5.0,admission_ic,4.0,0.023234130814671516,0.013956687413156033
V0017,,The process sequence ends in the ER with ER Sepsis Triage and involves no inpatient admission.,,admission_nc,2.0,,0.36712613701820374
V0018,admission_nc,"The narrative contains 'Admission NC', clearly realizing admission to a normal care inpatient ward.",7.0,admission_ic,4.0,0.3568616807460785,0.3338022530078888
V0019,,The narrative is restricted to emergency care and IV antibiotics administration without an admission step.,,admission_nc,3.0,,0.028952397406101227
V0020,,The variant concludes with diagnostic blood tests (CRP) in the ER without any inpatient admission.,,admission_nc,3.0,,0.3788929879665375
V0021,admission_nc,"The narrative includes 'Admission NC' prior to release and subsequent return to the ER, fulfilling normal care admission.",5.0,admission_ic,6.0,0.3730107843875885,0.11683540791273117
V0022,admission_nc,"The narrative explicitly includes the 'Admission NC' activity, realizing admission to a normal care inpatient ward.",6.0,admission_ic,4.0,0.3563199043273926,0.3343440592288971
V0023,admission_nc,"The narrative contains the 'Admission NC' activity before subsequent release and return, representing normal care admission.",6.0,admission_ic,5.0,0.37762269377708435,0.11472144722938538
V0024,admission_nc,"The variant terminates directly with the 'Admission NC' activity, realizing admission to a normal care inpatient ward.",7.0,admission_ic,4.0,0.79412841796875,0.700086772441864
V0025,,The narrative stops after administering IV Antibiotics in the ER and contains no admission activity.,,admission_nc,2.0,,0.01594679243862629
V0026,admission_nc,"The narrative includes the 'Admission NC' activity, realizing admission to a normal care inpatient ward.",7.0,admission_ic,5.0,0.5199500918388367,0.22407883405685425
V0027,,The narrative ends with 'IV Antibiotics' and does not contain any inpatient admission activity.,,admission_nc,3.0,,0.011120502837002277
V0028,admission_nc,The narrative explicitly contains the 'Admission NC' activity.,5.0,admission_ic,5.0,0.4048873484134674,0.1115245446562767
V0029,,The narrative ends at 'Leucocytes' and does not include an inpatient admission activity.,,admission_nc,2.0,,0.36965814232826233
V0030,admission_nc,The narrative contains the 'Admission NC' activity.,5.0,admission_ic,4.0,0.024563884362578392,0.015286439098417759
V0031,,The narrative ends with 'LacticAcid' and does not contain an inpatient admission activity.,,admission_nc,3.0,,0.3540477454662323
V0032,admission_nc,The narrative includes the 'Admission NC' activity.,5.0,admission_ic,5.0,0.35336101055145264,0.11289012432098389
V0033,admission_nc,The narrative includes the 'Admission NC' activity.,7.0,admission_ic,6.0,0.5885335206985474,0.2256755381822586
V0034,,The narrative terminates at 'IV Liquid' without an inpatient admission activity.,,admission_nc,2.0,,0.01565026491880417
V0035,admission_nc,The narrative includes the 'Admission NC' activity.,4.0,admission_ic,4.0,0.0025110591668635607,0.006766385864466429
V0036,,The narrative ends with 'CRP' and lacks any inpatient admission activity.,,admission_nc,3.0,,0.38420066237449646
V0037,admission_nc,The narrative includes the 'Admission NC' activity.,8.0,admission_ic,4.0,0.6988272070884705,0.33847275376319885
V0038,,The narrative terminates at 'IV Antibiotics' without an inpatient admission activity.,,admission_nc,3.0,,0.012487771920859814
V0039,admission_nc,The narrative includes the 'Admission NC' activity.,4.0,admission_ic,4.0,0.11471235752105713,0.08835064619779587
V0040,admission_nc,The narrative includes the 'Admission NC' activity.,7.0,admission_ic,3.0,0.7805387377738953,0.686497151851654
V0041,admission_nc,The narrative includes the 'Admission NC' activity.,5.0,admission_ic,4.0,0.13836026191711426,0.09262823313474655
V0042,admission_nc,The narrative includes the 'Admission NC' activity.,4.0,admission_ic,5.0,0.02587503381073475,0.01659758947789669
V0043,,The narrative ends at 'LacticAcid' and lacks any inpatient admission activity.,,admission_nc,2.0,,0.36644890904426575
V0044,admission_nc,The narrative includes the 'Admission NC' activity.,4.0,admission_ic,3.0,0.028955580666661263,0.019678138196468353
V0045,admission_nc,The narrative includes the 'Admission NC' activity.,7.0,admission_ic,4.0,0.7144916653633118,0.3334079682826996
