variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative ends at ER Sepsis Triage and does not involve any discharge or release pathway.,,release_a,2.0,,0.3996862471103668
V0002,,The narrative terminates at CRP testing during the emergency phase and does not represent a patient release.,,release_a,2.0,,0.3868909180164337
V0003,,The process sequence ends at Leucocytes testing in the emergency department without reaching any discharge pathway.,,release_a,2.0,,0.3938073217868805
V0004,,The variant concludes with IV Antibiotics administration and does not progress to a discharge or release.,,release_a,2.0,,0.3561701476573944
V0005,,The narrative stops at LacticAcid testing and does not show an inpatient admission or release pathway.,,release_a,2.0,,0.38819071650505066
V0006,,The workflow finishes at IV Antibiotics without any subsequent admission or release event.,,release_b,2.0,,0.33371415734291077
V0007,,The sequence ends with IV Antibiotics administration and does not reach a release stage.,,release_b,2.0,,0.33662155270576477
V0008,release_a,"The narrative involves standard admission (Admission NC) followed directly by Release A, matching the standard release pathway supporting recovery.",7.0,release_b,2.0,0.36371123790740967,0.3369273245334625
V0009,,The process stops at IV Antibiotics in the ER phase and does not include an admission or release.,,release_a,2.0,,0.3448009192943573
V0010,,The variant terminates at ER Sepsis Triage and does not realize any release category.,,release_a,2.0,,0.3493982255458832
V0011,,The narrative concludes with IV Antibiotics and lacks any discharge or release event.,,release_b,2.0,,0.3334716260433197
V0012,,The variant ends with IV Antibiotics and does not reach any release or discharge milestone.,,release_a,2.0,,0.3901524841785431
V0013,,The activity sequence ends at Leucocytes testing without proceeding to admission or release.,,release_a,3.0,,0.3775876760482788
V0014,release_a,"The workflow includes admission via Admission NC and concludes with Release A, matching the standard release pathway.",8.0,release_b,2.0,0.35956624150276184,0.34107232093811035
V0015,release_a,"The process involves an inpatient stay (Admission NC) and concludes with Release A, realizing the standard release pathway.",4.0,release_b,3.0,0.037479717284440994,0.34168222546577454
V0016,release_a,"The narrative features an inpatient admission followed by Release A, matching the standard release pathway.",2.0,release_b,3.0,0.025045499205589294,0.3370905816555023
V0017,,The narrative terminates at ER Sepsis Triage and does not represent a discharge pathway.,,release_a,3.0,,0.3776973485946655
V0018,release_a,"The sequence progresses through admission (Admission NC) to Release A, corresponding to the standard release pathway.",6.0,release_c,3.0,0.3586730659008026,0.34196552634239197
V0019,,The process ends with IV Antibiotics in the emergency phase and does not reach a release milestone.,,release_a,3.0,,0.34530603885650635
V0020,,The narrative terminates at CRP testing in the ER and does not include any discharge pathway.,,release_a,3.0,,0.38946422934532166
V0021,,"Although the variant includes Release A, it ultimately results in Return ER, indicating post-discharge deterioration rather than the standard release recovery pathway.",,release_a,1.0,,0.0006282883114181459
V0022,release_a,"The workflow proceeds through Admission NC and ends with Release A, fulfilling the standard release pathway.",6.0,release_c,1.0,0.3581312596797943,0.34250733256340027
V0023,,"The variant includes Release A but ends with Return ER, pointing to a readmission rather than a successful standard release.",,release_a,1.0,,0.00020539744582492858
V0024,,The narrative terminates at Admission NC without continuing to a release outcome.,,release_a,2.0,,0.004364368971437216
