variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,straight_through_processing,"The invoice is successfully processed and cleared with no recorded exceptions, payment blocks, or discrepancy corrections.",9.0,delayed_or_blocked_payment,1.0,0.33454403281211853,1.0375811143603642e-05
V0002,straight_through_processing,"Standard flow involving creation, goods receipt, invoice receipt, and clearing without any exception handling or blocks.",8.0,delayed_or_blocked_payment,1.0,0.3357020914554596,1.5803054338903166e-05
V0003,,"The case ends prematurely at Record Goods Receipt without completing payment or clearing, making it incomplete or residual.",,cancelled_or_reversed,1.0,,0.0008134545641951263
V0004,delayed_or_blocked_payment,"Contains a Remove Payment Block event before final clearance, indicating a delayed or blocked payment.",3.0,straight_through_processing,1.0,0.3362983763217926,1.0000213706007344e-06
V0005,straight_through_processing,Standard processing flow including order confirmation and normal clearing without exceptions.,8.0,delayed_or_blocked_payment,1.0,0.3385590612888336,4.004822039860301e-05
V0006,straight_through_processing,Includes a purchase requisition step but proceeds normally through to clear invoice without exceptions.,10.0,delayed_or_blocked_payment,1.0,0.33613038063049316,3.895186637237202e-06
V0007,delayed_or_blocked_payment,Includes a Remove Payment Block activity before final invoice clearing.,3.0,discrepancy_resolved,1.0,0.33763381838798523,1.797504046407994e-05
V0008,delayed_or_blocked_payment,Features a Remove Payment Block event prior to invoice clearing.,3.0,straight_through_processing,1.0,0.33364084362983704,3.758809543796815e-05
V0009,cancelled_or_reversed,"The purchase order item is deleted, representing a cancellation of the process.",6.0,delayed_or_blocked_payment,1.0,0.7496585845947266,0.34116148948669434
V0010,straight_through_processing,Follows a standard path to payment clearance without exception or block handling.,9.0,discrepancy_resolved,1.0,0.33495715260505676,1.631987288419623e-05
V0011,,Process stops at Record Invoice Receipt and does not complete clearance or end in a recognized category.,,straight_through_processing,1.0,,0.0
V0012,,Terminates at Record Goods Receipt without reaching invoice receipt or payment.,,cancelled_or_reversed,1.0,,6.418859265977517e-05
V0013,,Stops at Record Invoice Receipt without clearing.,,straight_through_processing,1.0,,4.434079164639115e-05
V0014,,Incomplete trace ending immediately after creating the purchase order item.,,cancelled_or_reversed,1.0,,0.3333333432674408
V0015,,Process ends at Record Invoice Receipt without reaching payment clearance.,,straight_through_processing,1.0,,2.3251661332324147e-05
V0016,straight_through_processing,Normal requisition-to-clearance path with no recorded discrepancies or blocks.,9.0,delayed_or_blocked_payment,1.0,0.3359513282775879,4.582580459100427e-06
V0017,,Ends at Record Invoice Receipt without invoice clearing.,,straight_through_processing,1.0,,7.288854976650327e-05
V0018,,Terminates at Record Invoice Receipt without reaching clearance.,,straight_through_processing,1.0,,7.057238349261752e-07
V0019,discrepancy_resolved,Includes a Change Quantity activity which represents correcting a discrepancy before payment.,3.0,straight_through_processing,1.0,0.3336089849472046,1.5505949704675004e-05
V0020,straight_through_processing,"Vendor creates invoice first, but the case flows normally to completion without blocks or discrepancies.",10.0,delayed_or_blocked_payment,1.0,0.33768510818481445,9.646503167459741e-05
V0021,delayed_or_blocked_payment,Involves a Remove Payment Block activity prior to clearing.,4.0,straight_through_processing,1.0,0.3397773504257202,2.505644988559652e-05
V0022,delayed_or_blocked_payment,Includes a Remove Payment Block event before completing invoice clearance.,3.0,straight_through_processing,1.0,0.336428165435791,2.2672475097351708e-05
V0023,discrepancy_resolved,"Contains a Change Quantity event, indicating a quantity discrepancy resolved before payment completion.",3.0,straight_through_processing,1.0,0.33527323603630066,3.209934584447183e-05
V0024,,Incomplete trace ending at Create Purchase Order Item.,,cancelled_or_reversed,1.0,,0.33539411425590515
V0025,discrepancy_resolved,"Includes a Change Price activity, indicating a price discrepancy corrected before payment.",3.0,straight_through_processing,1.0,0.33915838599205017,2.2126391741039697e-06
V0026,delayed_or_blocked_payment,"The narrative ends with Clear Invoice after a payment block was removed, showing payment after a delay/block.",4.0,discrepancy_resolved,1.0,0.35279950499534607,0.00026325476937927306
V0027,,"The process stops at Record Invoice Receipt without completion or cancellation, fitting none of the completed categories.",,delayed_or_blocked_payment,1.0,,0.00018354308849666268
V0028,,The process stops at Record Invoice Receipt without payment or cancellation.,,straight_through_processing,1.0,,4.857442399952561e-05
V0029,cancelled_or_reversed,"The purchase order is deleted, which represents a cancellation.",7.0,discrepancy_resolved,2.0,0.724101722240448,0.3336552381515503
V0030,,The process stops at Record Invoice Receipt without payment.,,straight_through_processing,1.0,,9.999729627452325e-06
V0031,delayed_or_blocked_payment,The process involves a payment block and ends with Remove Payment Block without final clearance or cancellation.,5.0,straight_through_processing,1.0,0.6787698864936829,0.0007682539871893823
V0032,discrepancy_resolved,A price discrepancy is corrected via Change Price before the invoice is eventually cleared.,3.0,straight_through_processing,1.0,0.33546242117881775,1.596400761627592e-05
V0033,straight_through_processing,"The invoice is processed and paid without any recorded exception, block, discrepancy correction, or cancellation.",9.0,delayed_or_blocked_payment,1.0,0.3369404971599579,3.0664116934531194e-07
V0034,,"The process ends at Record Goods Receipt after a quantity change, but without reaching invoice creation or payment.",,discrepancy_resolved,1.0,,1.7760012269718572e-05
V0035,discrepancy_resolved,A quantity discrepancy is corrected via Change Quantity before the invoice is paid.,3.0,straight_through_processing,1.0,0.3347117602825165,1.9798296762019163e-06
V0036,delayed_or_blocked_payment,The process includes a payment block before being cleared.,4.0,straight_through_processing,1.0,0.3363593816757202,5.01959164012078e-07
V0037,cancelled_or_reversed,"The purchase order item is deleted, signifying cancellation.",6.0,discrepancy_resolved,2.0,0.7184221148490906,0.3334556818008423
V0038,straight_through_processing,"Normal flow without exceptions, blocks, corrections, or cancellations leading to payment.",10.0,delayed_or_blocked_payment,1.0,0.33546313643455505,4.0480290408595465e-07
V0039,,The process stops at Record Goods Receipt without invoice creation or payment.,,cancelled_or_reversed,1.0,,0.00046692497562617064
V0040,delayed_or_blocked_payment,Includes a payment block before invoice clearance.,3.0,straight_through_processing,1.0,0.33645808696746826,4.293401161703514e-06
V0041,discrepancy_resolved,Includes a quantity change representing a discrepancy resolution before payment.,3.0,delayed_or_blocked_payment,1.0,0.3365318477153778,6.8458243731583934e-06
V0042,,"Ends at Record Goods Receipt with a repeated activity, but no invoice or payment is recorded.",,discrepancy_resolved,1.0,,0.0002181693707825616
V0043,delayed_or_blocked_payment,The process includes a payment block event.,5.0,straight_through_processing,1.0,0.6772934794425964,0.000708183681126684
V0044,discrepancy_resolved,Involves a price change correcting a discrepancy before payment clearance.,4.0,delayed_or_blocked_payment,1.0,0.33403506875038147,1.2833985238103196e-05
V0045,delayed_or_blocked_payment,Includes a payment block event before concluding.,4.0,straight_through_processing,1.0,0.6800679564476013,0.0020662916358560324
V0046,,Process stops at Record Goods Receipt without invoice receipt or payment.,,cancelled_or_reversed,1.0,,0.00010374777048127726
V0047,discrepancy_resolved,Includes a quantity change for correction before final invoice payment.,3.0,delayed_or_blocked_payment,1.0,0.33540812134742737,1.0932872100966051e-05
V0048,delayed_or_blocked_payment,Includes a payment block event before completion.,4.0,straight_through_processing,1.0,0.6793298721313477,0.0013282167492434382
V0049,delayed_or_blocked_payment,Involves a payment block event prior to invoice clearance.,3.0,discrepancy_resolved,1.0,0.3374239206314087,8.600470209785271e-06
V0050,delayed_or_blocked_payment,Includes a payment block removal before the invoice is cleared.,5.0,straight_through_processing,1.0,0.346688836812973,5.3632382332580164e-05
V0051,straight_through_processing,"The invoice is processed with standard steps (PO, confirmation, vendor invoice, goods receipt, invoice receipt) without any recorded exceptions, blocks, discrepancies, or cancellations.",10.0,delayed_or_blocked_payment,1.0,0.6867380738258362,0.00033132859971374273
V0052,straight_through_processing,"The process concludes with clearing the invoice without any payment block or discrepancy resolution events, representing a direct flow with repeated goods receipt.",8.0,discrepancy_resolved,1.0,0.16746534407138824,4.557596639642725e-06
V0053,delayed_or_blocked_payment,"Contains a payment-block event followed by Remove Payment Block, fitting the delayed or blocked payment category.",5.0,discrepancy_resolved,2.0,0.6921629309654236,0.005555336829274893
V0054,,"The process only consists of creating and changing purchase order approvals, without reaching invoice clearing, matching none of the defined payment execution categories.",,cancelled_or_reversed,1.0,,0.014678130857646465
V0055,cancelled_or_reversed,"The purchase order item is deleted, indicating a cancellation of the procurement process.",7.0,discrepancy_resolved,1.0,0.7165676951408386,0.33363521099090576
V0056,delayed_or_blocked_payment,"Includes a payment block removal step before finally clearing the invoice, indicating a delayed or blocked payment.",4.0,straight_through_processing,1.0,0.33641305565834045,7.553805062343599e-06
V0057,delayed_or_blocked_payment,"Contains a payment block removal step, fitting the delayed or blocked payment category.",5.0,straight_through_processing,1.0,0.6779318451881409,6.979422323638573e-05
V0058,delayed_or_blocked_payment,Includes a Remove Payment Block activity before clearing the invoice.,4.0,discrepancy_resolved,1.0,0.3463321030139923,7.483594527002424e-05
V0059,delayed_or_blocked_payment,Features a payment block removal step prior to clearing the invoice.,4.0,straight_through_processing,1.0,0.3374537229537964,4.108239863853669e-06
V0060,discrepancy_resolved,"Includes a 'Change Price' activity which represents a discrepancy corrected before payment, along with a payment block removal.",3.0,delayed_or_blocked_payment,1.0,0.33915945887565613,4.09215817853692e-06
V0061,discrepancy_resolved,Involves a quantity change ('Change Quantity') to correct a discrepancy before the invoice is cleared.,5.0,delayed_or_blocked_payment,1.0,0.3346004784107208,1.615163569113065e-06
V0062,straight_through_processing,"Processes through service entry and invoice clearing without any reported blocks, cancellations, or discrepancies.",7.0,delayed_or_blocked_payment,1.0,0.3341120183467865,3.975746039941441e-06
V0063,discrepancy_resolved,Contains a quantity change ('Change Quantity') to correct a discrepancy before recording the goods receipt.,7.0,cancelled_or_reversed,1.0,0.6853178143501282,0.00023776762827765197
V0064,,"Ends at Record Service Entry Sheet without going through invoice creation or payment clearing, leaving it outside the standard payment lifecycle.",,cancelled_or_reversed,1.0,,0.20117740333080292
V0065,straight_through_processing,Follows a complete SRM and standard execution path to clear the invoice without exceptions or blocks.,10.0,delayed_or_blocked_payment,1.0,0.33486059308052063,1.5378599300674978e-06
V0066,straight_through_processing,"Completes successfully to invoice clearing without any recorded blocks, discrepancies, or cancellations.",9.0,delayed_or_blocked_payment,1.0,0.33412256836891174,1.3241157148513594e-06
V0067,discrepancy_resolved,Includes a price change ('Change Price') to resolve a discrepancy before invoice payment.,4.0,straight_through_processing,1.0,0.33904603123664856,2.5347529231112276e-07
V0068,,Stops at changing approval for the purchase order without reaching any invoicing or payment states.,,cancelled_or_reversed,1.0,,0.03634258732199669
V0069,discrepancy_resolved,Involves a price correction ('Change Price') and subsequent payment block removal before invoice clearing.,4.0,delayed_or_blocked_payment,1.0,0.33477577567100525,1.0647113413142506e-07
V0070,delayed_or_blocked_payment,Contains a payment block removal step before completion.,6.0,straight_through_processing,1.0,0.7134730815887451,0.02686549909412861
V0071,,"Consists solely of changing the delivery indicator, terminating before invoice or payment processing.",,cancelled_or_reversed,1.0,,0.005341350566595793
V0072,discrepancy_resolved,Includes a price change ('Change Price') to resolve discrepancies prior to clearing the invoice.,3.0,straight_through_processing,1.0,0.3336964547634125,9.586055057297926e-06
V0073,discrepancy_resolved,Contains a price change ('Change Price') to address a discrepancy before recording the goods receipt.,7.0,cancelled_or_reversed,1.0,0.685627281665802,0.000547256728168577
V0074,delayed_or_blocked_payment,Involves a payment block removal step prior to clearing the invoice.,4.0,discrepancy_resolved,1.0,0.33980366587638855,1.2538870350908837e-06
