variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,"The narrative ends with Send for Credit Collection, which does not result in payment or an appeal, so it does not fit any of the resolution categories.",,delinquent_payment,1.0,,0.0017314013093709946
V0002,timely_payment,"The fine is paid directly after creation without any penalty enforcement or appeal steps, indicating timely payment.",1.0,judicial_appeal_judge,2.0,0.4996647834777832,0.17589472234249115
V0003,,The case ends after Send Fine without a payment or appeal recorded.,,timely_payment,1.0,,0.002686103107407689
V0004,delinquent_payment,"Payment occurs after the addition of a penalty following fine notification, representing delinquent payment.",2.0,judicial_appeal_judge,1.0,0.34132835268974304,6.770990876248106e-05
V0005,delinquent_payment,"Payment occurs after penalty addition, following the enforcement steps.",1.0,administrative_appeal_prefecture,1.0,0.031541790813207626,0.0035808782558888197
V0006,delinquent_payment,"Payments occur alongside and after penalty addition, constituting delinquent payment.",2.0,judicial_appeal_judge,1.0,0.04210721328854561,0.00010935895988950506
V0007,timely_payment,"Payment is made relatively early after sending the fine, without penalty imposition.",0.0,judicial_appeal_judge,1.0,0.3422447741031647,0.018474731594324112
V0008,administrative_appeal_prefecture,The narrative includes steps to insert and send an appeal to the Prefecture.,2.0,delinquent_payment,1.0,0.3583296239376068,0.0633479580283165
V0009,,"Despite an intermediate payment, the case ultimately ends with Send for Credit Collection, failing to fully resolve through payment or appeal.",,delinquent_payment,1.0,,0.00039125734474509954
V0010,,The case ends with Send for Credit Collection after penalty imposition.,,delinquent_payment,1.0,,0.0035356851294636726
V0011,administrative_appeal_prefecture,The case involves submitting an appeal to the Prefecture.,3.0,delinquent_payment,1.0,0.3523803651332855,0.06929720193147659
V0012,,"The case concludes with Send Fine after a preliminary payment, representing an incomplete or atypical flow.",,timely_payment,1.0,,0.02757914364337921
V0013,administrative_appeal_prefecture,The case involves an administrative appeal to the Prefecture followed by results notification and final payment.,2.0,judicial_appeal_judge,1.0,0.0,0.0031689032912254333
V0014,judicial_appeal_judge,"The narrative explicitly includes an appeal to the Judge, followed by a penalty and final payment.",4.0,delinquent_payment,1.0,0.006005100905895233,0.0032684020698070526
V0015,administrative_appeal_prefecture,The narrative focuses on submitting an appeal to the Prefecture.,4.0,judicial_appeal_judge,1.0,0.3792594373226166,0.04241811856627464
V0016,administrative_appeal_prefecture,"The case is resolved through an administrative appeal submitted to the Prefecture, followed by results and payment.",2.0,judicial_appeal_judge,1.0,0.007717736065387726,0.00037261247052811086
V0017,,The case includes an appeal to the Judge but ultimately concludes with Send for Credit Collection rather than resolution.,,judicial_appeal_judge,1.0,,0.0004219587426632643
V0018,delinquent_payment,"Payment occurs after fine notification and penalty addition, representing delinquent payment.",3.0,judicial_appeal_judge,2.0,0.04185950756072998,0.00035706456401385367
V0019,,"Although an administrative appeal to the Prefecture takes place, the final outcome is Send for Credit Collection.",,administrative_appeal_prefecture,1.0,,0.0002084532316075638
V0020,,Includes an administrative appeal to the Prefecture but ends with Send for Credit Collection.,,administrative_appeal_prefecture,1.0,,0.0030032878275960684
V0021,delinquent_payment,Payments occur after penalty addition following enforcement.,0.0,timely_payment,2.0,0.006664158310741186,0.0020457857754081488
V0022,administrative_appeal_prefecture,The case resolves through an administrative appeal to the Prefecture and subsequent payment.,3.0,judicial_appeal_judge,1.0,0.008850532583892345,0.0013636029325425625
V0023,timely_payment,Payments are made early in the process without enforcement steps.,1.0,judicial_appeal_judge,1.0,0.014894504100084305,0.011123479343950748
V0024,delinquent_payment,"Payment occurs after penalty addition, representing delinquent payment.",3.0,judicial_appeal_judge,2.0,0.04604393243789673,0.003827358828857541
V0025,,Involves an administrative appeal to the Prefecture but ultimately ends in Send for Credit Collection.,,administrative_appeal_prefecture,1.0,,0.0011834870092570782
V0026,,"The case results in sending for credit collection after a penalty was added, which does not fit timely payment, delinquent payment, or any appeal category.",,delinquent_payment,1.0,,0.00011408588761696592
V0027,judicial_appeal_judge,The narrative culminates in an appeal to the judge following administrative appeal steps.,1.0,administrative_appeal_prefecture,1.0,0.3649154007434845,0.33392608165740967
V0028,timely_payment,"Payments occur early after sending the fine, without any intervening penalty addition or appeals.",1.0,delinquent_payment,2.0,0.0050190407782793045,0.008790065534412861
V0029,judicial_appeal_judge,The final activity is an appeal to the judge after a penalty has been added.,3.0,delinquent_payment,1.0,0.39004945755004883,0.3334622085094452
V0030,administrative_appeal_prefecture,"The narrative involves an administrative appeal to the prefecture, concluding with the notification of the result.",1.0,judicial_appeal_judge,1.0,0.3495374023914337,0.008482392877340317
V0031,delinquent_payment,"Payment happens after a penalty addition and a judicial appeal step, matching delinquent payment resolution.",2.0,judicial_appeal_judge,1.0,0.3557831048965454,0.0013200849061831832
V0032,administrative_appeal_prefecture,The process focuses on an administrative appeal submitted to and processed by the prefecture.,2.0,delinquent_payment,1.0,0.3650336265563965,0.060928214341402054
V0033,judicial_appeal_judge,The case goes through a prefecture appeal and then proceeds to an appeal to the judge before payment.,2.0,administrative_appeal_prefecture,1.0,0.00045500797568820417,0.004574260208755732
V0034,administrative_appeal_prefecture,Consists entirely of an administrative appeal process to the prefecture ending in result notification.,2.0,judicial_appeal_judge,1.0,0.3446713387966156,0.003616329049691558
V0035,judicial_appeal_judge,The narrative goes through prefecture appeal steps and ultimately concludes with an appeal to the judge.,1.0,administrative_appeal_prefecture,1.0,0.3697322607040405,0.3336153030395508
V0036,timely_payment,Repeated payments occur early in the process before any penalty is added.,4.0,delinquent_payment,1.0,0.03423008322715759,0.00010935895988950506
