variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,coercive_credit_collection,"Notification and penalty followed only by Send for Credit Collection 465 days later, no payment and no appeal: the coercive credit collection alternative exactly.",1.0,delinquent_payment,1.0,0.3344022035598755,0.0017314013093709946
V0002,timely_payment,"Payment 5 days after Create Fine with no dispatch, notification or penalty: the fine is paid before enforcement begins, which is timely payment.",1.0,judicial_appeal_judge,2.0,0.4847702980041504,0.15407751500606537
V0003,,"Create Fine and Send Fine only, then nothing for 101 days: the mandatory issuance goal is met but no resolution alternative (payment, appeal, credit collection) has been entered. Still-open case; residual.",,timely_payment,1.0,,0.002686103107407689
V0004,delinquent_payment,"Notified and penalised, then a single Payment 231 days after the penalty with no appeal: payment after enforcement is delinquent payment.",2.0,coercive_credit_collection,1.0,0.35610902309417725,6.770990876248106e-05
V0005,delinquent_payment,Notification and penalty followed by two payments and no appeal: delinquent payment in two installments; the repeated Payment is rework within the alternative.,1.0,coercive_credit_collection,1.0,0.0007711097714491189,0.0028145748656243086
V0006,delinquent_payment,"A first payment after notification, then the penalty, then a closing payment, no appeal: the case is closed by payment after enforcement began, so delinquent payment; the penalty/payment ordering is a variation within it.",2.0,coercive_credit_collection,1.0,0.011336530558764935,0.004125290084630251
V0007,timely_payment,"Payment 18 days after Send Fine and before any notification or penalty: the fine is paid before enforcement, which is timely payment.",1.0,judicial_appeal_judge,1.0,0.33931636810302734,0.00334247131831944
V0008,administrative_appeal_prefecture,"Insert Date Appeal to Prefecture and Send Appeal to Prefecture after notification, with the penalty added in between: the offender contests administratively and the case ends at the filing, so the Prefecture appeal alternative is the one realized (result not yet received).",2.0,coercive_credit_collection,2.0,0.3627898693084717,0.33359038829803467
V0009,coercive_credit_collection,A partial Payment 7 days after the penalty does not close the case; it is handed to credit collection 501 days later. The closure is coercive credit collection.,0.0,delinquent_payment,1.0,0.335742324590683,0.00039125734474509954
V0010,coercive_credit_collection,"Payment before the penalty, then penalty, then Send for Credit Collection 450 days later: the partial payment did not settle the fine, and the case closes by credit collection.",2.0,delinquent_payment,1.0,0.33966925740242004,0.0035356851294636726
V0011,administrative_appeal_prefecture,Prefecture appeal date inserted and appeal sent after the penalty; the case ends at the filing. Administrative appeal to the Prefecture is the alternative realized.,3.0,coercive_credit_collection,2.0,0.3568406105041504,0.33628249168395996
V0012,timely_payment,"Payment 4 days after Create Fine, before the fine is even dispatched; the later Send Fine is an administrative event on an already-paid fine. Timely payment.",1.0,judicial_appeal_judge,1.0,0.6893536448478699,0.02757914364337921
V0013,administrative_appeal_prefecture,"Full Prefecture appeal cycle (date inserted, sent, result received, result notified) followed by Payment 28 days later: the case was contested administratively and the payment settles the appeal's outcome. Assigned to the Prefecture appeal, which is the alternative that shaped the case.",2.0,judicial_appeal_judge,1.0,0.004460256081074476,0.011805380694568157
V0014,judicial_appeal_judge,"Appeal to Judge after notification, then penalty, then Payment 495 days later: the contest was judicial, and the payment settles its outcome. Judicial appeal to the Judge.",4.0,delinquent_payment,1.0,0.0,0.0032684020698070526
V0015,administrative_appeal_prefecture,"Prefecture appeal filed directly after Send Fine, before any notification or penalty; case ends at the filing. Administrative appeal to the Prefecture.",4.0,judicial_appeal_judge,1.0,0.38371968269348145,0.33374011516571045
V0016,administrative_appeal_prefecture,"Complete Prefecture appeal cycle with result notified, then Payment: a contested case resolved through the Prefecture appeal, the payment following its outcome.",2.0,judicial_appeal_judge,1.0,0.01217799261212349,0.008380155079066753
V0017,judicial_appeal_judge,"Appeal to Judge shortly after notification, then penalty, then Send for Credit Collection 1006 days later: the contest was judicial; the hand-over enforces its outcome. Judicial appeal.",4.0,coercive_credit_collection,1.0,0.3598497211933136,0.0004219587426632643
V0018,delinquent_payment,"An early partial Payment before dispatch, then notification and penalty, then a closing Payment 102 days after the penalty, no appeal: closed by payment after enforcement, so delinquent payment.",3.0,coercive_credit_collection,1.0,0.011088824830949306,0.0038775841239839792
