scope,scope_kind,category_name,element_id,element_type,element_name,satisfaction,is_measured_seed
__baseline__,baseline,,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
__baseline__,baseline,,3,Goal,Fine is issued and formally communicated,0,False
__baseline__,baseline,,4,Goal,Fine case is resolved,0,False
__baseline__,baseline,,5,Goal,Fine becomes enforceable and is resolved,0,False
__baseline__,baseline,,6,Goal,Enforced case is closed,0,False
__baseline__,baseline,,7,Goal,Contested appeal is resolved,0,False
__baseline__,baseline,,8,Task,Create Fine,0,False
__baseline__,baseline,,9,Task,Send Fine,0,False
__baseline__,baseline,,10,Task,Insert Fine Notification,0,False
__baseline__,baseline,,11,Task,Add Penalty,0,False
__baseline__,baseline,,12,Task,Resolve via timely payment,0,False
__baseline__,baseline,,13,Task,Resolve via delinquent payment,0,False
__baseline__,baseline,,14,Task,Resolve via administrative appeal to the Prefecture,0,False
__baseline__,baseline,,15,Task,Insert Date Appeal to Prefecture,0,False
__baseline__,baseline,,16,Task,Send Appeal to Prefecture,0,False
__baseline__,baseline,,17,Task,Receive Result Appeal from Prefecture,0,False
__baseline__,baseline,,18,Task,Notify Result Appeal to Offender,0,False
__baseline__,baseline,,19,Task,Resolve via judicial appeal to the Judge,0,False
__baseline__,baseline,,20,Task,Resolve via coercive credit collection,0,False
__baseline__,baseline,,21,Softgoal,Minimize administrative & enforcement cost,-42,False
__baseline__,baseline,,22,Softgoal,Maximize timely fine revenue,-44,False
__baseline__,baseline,,23,Softgoal,Preserve offender's due-process rights,0,False
__baseline__,baseline,,112,Indicator,Time to fine dispatch (days),-3,True
__baseline__,baseline,,113,Indicator,"Time to appeal filing, Prefecture (days)",100,True
__baseline__,baseline,,175,Indicator,"Time to appeal filing, Judge (days)",-100,True
__baseline__,baseline,,114,Indicator,Average time to case closure (days),-85,True
coercive_credit_collection,category,Resolved via coercive credit collection,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
coercive_credit_collection,category,Resolved via coercive credit collection,3,Goal,Fine is issued and formally communicated,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,4,Goal,Fine case is resolved,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,5,Goal,Fine becomes enforceable and is resolved,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,6,Goal,Enforced case is closed,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,7,Goal,Contested appeal is resolved,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,8,Task,Create Fine,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,9,Task,Send Fine,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,10,Task,Insert Fine Notification,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,11,Task,Add Penalty,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,12,Task,Resolve via timely payment,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,13,Task,Resolve via delinquent payment,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,14,Task,Resolve via administrative appeal to the Prefecture,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,15,Task,Insert Date Appeal to Prefecture,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,16,Task,Send Appeal to Prefecture,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,17,Task,Receive Result Appeal from Prefecture,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,18,Task,Notify Result Appeal to Offender,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,19,Task,Resolve via judicial appeal to the Judge,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,20,Task,Resolve via coercive credit collection,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,21,Softgoal,Minimize administrative & enforcement cost,-50,False
coercive_credit_collection,category,Resolved via coercive credit collection,22,Softgoal,Maximize timely fine revenue,-58,False
coercive_credit_collection,category,Resolved via coercive credit collection,23,Softgoal,Preserve offender's due-process rights,0,False
coercive_credit_collection,category,Resolved via coercive credit collection,112,Indicator,Time to fine dispatch (days),-15,True
coercive_credit_collection,category,Resolved via coercive credit collection,113,Indicator,"Time to appeal filing, Prefecture (days)",0,False
coercive_credit_collection,category,Resolved via coercive credit collection,175,Indicator,"Time to appeal filing, Judge (days)",0,False
coercive_credit_collection,category,Resolved via coercive credit collection,114,Indicator,Average time to case closure (days),-100,True
delinquent_payment,category,Resolved via delinquent payment after enforcement,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,3,Goal,Fine is issued and formally communicated,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,4,Goal,Fine case is resolved,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,5,Goal,Fine becomes enforceable and is resolved,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,6,Goal,Enforced case is closed,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,7,Goal,Contested appeal is resolved,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,8,Task,Create Fine,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,9,Task,Send Fine,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,10,Task,Insert Fine Notification,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,11,Task,Add Penalty,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,12,Task,Resolve via timely payment,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,13,Task,Resolve via delinquent payment,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,14,Task,Resolve via administrative appeal to the Prefecture,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,15,Task,Insert Date Appeal to Prefecture,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,16,Task,Send Appeal to Prefecture,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,17,Task,Receive Result Appeal from Prefecture,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,18,Task,Notify Result Appeal to Offender,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,19,Task,Resolve via judicial appeal to the Judge,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,20,Task,Resolve via coercive credit collection,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,21,Softgoal,Minimize administrative & enforcement cost,-40,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,22,Softgoal,Maximize timely fine revenue,-46,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,23,Softgoal,Preserve offender's due-process rights,0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,112,Indicator,Time to fine dispatch (days),-13,True
delinquent_payment,category,Resolved via delinquent payment after enforcement,113,Indicator,"Time to appeal filing, Prefecture (days)",0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,175,Indicator,"Time to appeal filing, Judge (days)",0,False
delinquent_payment,category,Resolved via delinquent payment after enforcement,114,Indicator,Average time to case closure (days),-79,True
timely_payment,category,Resolved via timely payment,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
timely_payment,category,Resolved via timely payment,3,Goal,Fine is issued and formally communicated,0,False
timely_payment,category,Resolved via timely payment,4,Goal,Fine case is resolved,0,False
