variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,This narrative ends in ER Sepsis Triage and does not reach any release pathway.,,release_a,2.0,,0.3996862471103668
V0002,,This variant terminates at CRP testing without reaching a discharge or release pathway.,,release_a,2.0,,0.3868909180164337
V0003,,The process ends at Leucocytes testing and does not represent a patient discharge.,,release_a,2.0,,0.3938073217868805
V0004,,This variant concludes with IV Antibiotics and does not involve any patient release.,,release_a,2.0,,0.3561701476573944
V0005,,The process ends at LacticAcid and does not result in a discharge.,,release_a,2.0,,0.38819071650505066
V0006,,This narrative finishes with IV Antibiotics rather than patient release.,,release_b,2.0,,0.33371415734291077
V0007,,This variant terminates with IV Antibiotics and lacks a discharge event.,,release_b,2.0,,0.33662155270576477
V0008,release_a,"The narrative culminates in Release A, matching pathway A discharge.",7.0,release_b,2.0,0.36189985275268555,0.3369273245334625
V0009,,The sequence ends at IV Antibiotics without proceeding to a release state.,,release_a,2.0,,0.3448009192943573
V0010,,This variant terminates at ER Sepsis Triage and does not reach a discharge goal.,,release_a,2.0,,0.3493982255458832
V0011,,"The process ends with IV Antibiotics, omitting any release activity.",,release_b,2.0,,0.3334716260433197
V0012,,This narrative finishes at IV Antibiotics and does not reach patient discharge.,,release_a,2.0,,0.3901524841785431
V0013,,The variant ends at Leucocytes testing without achieving discharge.,,release_a,3.0,,0.3775876760482788
V0014,release_a,"The narrative ends with Release A, successfully realizing pathway A discharge.",8.0,release_b,2.0,0.3577549159526825,0.34107232093811035
V0015,release_a,"The case terminates with Release A after admission, realizing pathway A.",4.0,release_b,3.0,0.03566834703087807,0.34168222546577454
V0016,release_a,"This narrative concludes with Release A, fulfilling the pathway A discharge criteria.",2.0,release_b,3.0,0.023234130814671516,0.3370905816555023
V0017,,The sequence ends at ER Sepsis Triage and does not represent a discharge.,,release_a,3.0,,0.3776973485946655
V0018,release_a,"The variant finishes at Release A, directly realizing pathway A.",6.0,release_c,3.0,0.3568616807460785,0.34196552634239197
V0019,,This narrative stops at IV Antibiotics and does not reach a release outcome.,,release_a,3.0,,0.34530603885650635
V0020,,The process ends with CRP testing and lacks a discharge activity.,,release_a,3.0,,0.38946422934532166
V0021,,"Although it includes Release A, the final outcome is Return ER, which does not cleanly fit the standard discharge pathway definitions in this context.",,release_a,1.0,,0.0006282883114181459
V0022,release_a,"The narrative concludes with Release A, realizing pathway A discharge.",6.0,release_c,1.0,0.3563199043273926,0.34250733256340027
V0023,,"The final outcome is Return ER following Release A, making it part of the residual rather than a standard clean release category.",,release_a,1.0,,0.00020539744582492858
V0024,,This variant ends at Admission NC rather than a final discharge/release category.,,release_a,2.0,,0.004364368971437216
V0025,,The sequence ends with IV Antibiotics and does not involve a patient release.,,release_a,2.0,,0.33436623215675354
V0026,release_a,"The variant outcome is Release A, directly realizing the discharge of an admitted patient under pathway A.",4.0,release_d,4.0,0.5199500918388367,0.21103878319263458
V0027,,The variant ends with IV Antibiotics and does not conclude with a patient discharge or disposition matching any release pathway.,,release_b,3.0,,0.3358197510242462
V0028,release_a,"The variant outcome features Release A, realizing the discharge under pathway A.",5.0,release_b,2.0,0.4048873484134674,0.007231835275888443
V0029,,The variant terminates at Leucocytes without reaching a patient release or disposition category.,,release_b,2.0,,0.3802293837070465
V0030,release_a,"The variant concludes with Release A, realizing the respective discharge pathway.",4.0,release_e,4.0,0.024563884362578392,0.3360888957977295
V0031,,The variant ends at LacticAcid and does not represent a discharge event.,,release_b,3.0,,0.3646189868450165
V0032,release_a,"The narrative includes Release A prior to returning to the ER, fulfilling the Release A category criteria.",4.0,release_d,5.0,0.35336101055145264,0.044294510036706924
V0033,release_a,"The pathway incorporates Release A, fitting the discharge criteria of release_a.",6.0,release_d,4.0,0.5885335206985474,0.16679668426513672
V0034,,The variant ends with IV Liquid and lacks any patient discharge activity.,,release_a,2.0,,0.33619096875190735
V0035,release_a,"The variant concludes with Release A, realizing pathway A.",1.0,release_c,2.0,0.0025110591668635607,0.3336624205112457
V0036,,The variant ends with CRP and does not reach a discharge milestone.,,release_b,3.0,,0.39477190375328064
V0037,release_b,"The variant concludes with Release B, directly realizing the discharge of an admitted patient under pathway B.",5.0,release_a,1.0,0.3478574752807617,0.33376121520996094
V0038,,The variant terminates at IV Antibiotics without involving a patient release.,,release_a,3.0,,0.33445248007774353
V0039,release_a,"The variant ends with Release A, realizing pathway A.",4.0,release_b,4.0,0.11471235752105713,0.33401814103126526
V0040,,The variant terminates with Admission NC and does not reach a discharge status.,,release_b,1.0,,0.009225305169820786
V0041,release_a,"The narrative concludes with Release A, realizing pathway A.",2.0,release_c,3.0,0.13836026191711426,0.3335843086242676
V0042,release_a,"The narrative concludes with Release A, realizing pathway A.",4.0,release_b,3.0,0.02587503381073475,0.33477774262428284
V0043,,The variant ends at LacticAcid and does not include any release activity.,,release_a,2.0,,0.37702012062072754
V0044,release_a,"The variant ends with Release A, realizing pathway A.",4.0,release_b,3.0,0.028955580666661263,0.3349694311618805
V0045,release_a,"The narrative includes Release A before returning to the ER, aligning with release_a.",8.0,release_d,3.0,0.7144916653633118,0.3396390676498413
V0046,release_a,"The variant terminates in Release A, realizing pathway A.",4.0,release_c,4.0,0.010306290350854397,0.3337673246860504
V0047,release_a,"The variant terminates in Release A, realizing pathway A.",6.0,release_c,3.0,0.37708672881126404,0.33553382754325867
V0048,release_a,"The variant terminates in Release A, realizing pathway A.",2.0,release_d,2.0,0.012953873723745346,0.33444809913635254
V0049,release_a,"The narrative includes Release A before returning to the ER, aligning with release_a.",7.0,release_d,6.0,0.42897769808769226,0.007240867242217064
V0050,,The variant ends with CRP and does not contain a discharge event.,,release_a,3.0,,0.38090047240257263
V0051,release_a,"The narrative ends with Release A, matching the discharge of an admitted patient under pathway A.",3.0,release_c,3.0,0.1270235776901245,0.3335767686367035
V0052,release_a,"The narrative includes Release A, contributing to pathway A discharge before a subsequent Return ER.",3.0,release_d,3.0,0.4060424268245697,0.008386896923184395
V0053,release_a,"The narrative concludes with Release A, representing pathway A.",9.0,release_b,4.0,0.3799898624420166,0.3340359926223755
V0054,release_a,"The narrative features Release A, mapping to pathway A discharge prior to an ER return.",5.0,release_d,4.0,0.3784903585910797,0.019165169447660446
V0055,release_a,"The narrative includes Release A, corresponding to pathway A discharge.",3.0,release_c,4.0,0.5013391971588135,0.01938524842262268
V0056,,"The outcome is IV Antibiotics, which does not represent a patient discharge or any defined release pathway.",,release_a,3.0,,0.3599989414215088
V0057,release_a,"The narrative ends with Release A, matching pathway A.",4.0,release_b,3.0,0.37765857577323914,0.33496198058128357
V0058,release_a,"The narrative terminates with Release A, realizing pathway A.",8.0,release_b,3.0,0.3724132776260376,0.33370938897132874
V0059,release_a,"The narrative concludes with Release A, corresponding to pathway A.",2.0,release_d,3.0,0.03337796777486801,0.339391827583313
V0060,release_a,"The narrative includes Release A, realizing pathway A prior to an ER return.",6.0,release_b,5.0,0.41556021571159363,0.006176613736897707
V0061,release_a,"The narrative ends with Release A, mapping to pathway A.",4.0,release_d,2.0,0.004335192497819662,0.33482837677001953
V0062,,"The outcome is IV Antibiotics, representing treatment rather than a final discharge pathway.",,release_a,2.0,,0.33633720874786377
V0063,release_a,"The narrative concludes with Release A, matching pathway A.",12.0,release_b,6.0,0.007880558259785175,0.33602777123451233
V0064,release_a,"The narrative ends with Release A, realizing pathway A.",6.0,release_b,4.0,0.1804744452238083,0.3362339437007904
V0065,release_a,"The narrative features Release A, corresponding to pathway A.",3.0,release_c,3.0,0.12324347347021103,0.3368700444698334
V0066,release_a,"The narrative terminates with Release A, matching pathway A.",6.0,release_b,2.0,0.3804495334625244,0.3344956636428833
V0067,release_a,"The narrative concludes with Release A, realizing pathway A.",6.0,release_b,3.0,0.006527781952172518,0.33353617787361145
V0068,release_b,"The narrative features Admission IC and concludes with Release B, representing pathway B discharge.",5.0,release_a,4.0,0.0,0.33354225754737854
V0069,release_a,"The narrative ends with Release A, mapping to pathway A.",5.0,release_b,4.0,0.005077439360320568,0.33458080887794495
V0070,release_a,"The narrative terminates with Release A, corresponding to pathway A.",5.0,release_d,2.0,0.19032622873783112,0.3402844965457916
V0071,release_a,"The narrative includes Release A before an ER return, realizing pathway A.",7.0,release_d,5.0,0.5174746513366699,0.015960553660988808
V0072,release_a,"The narrative includes Release A prior to an ER return, matching pathway A.",4.0,release_c,4.0,0.34131014347076416,0.056345384567976
V0073,release_a,"The narrative ends with Release A, realizing pathway A.",5.0,release_b,4.0,0.014500699937343597,0.3346960246562958
V0074,release_a,"The narrative features Release A before an ER return, corresponding to pathway A.",8.0,release_b,4.0,0.6776034832000732,0.3476223945617676
V0075,release_a,"The narrative includes Admission IC and concludes with Release A prior to an ER return, realizing pathway A.",5.0,release_b,6.0,0.5939875245094299,0.017104841768741608
V0076,release_b,"The narrative concludes with Release B, matching the criteria for pathway B discharge.",2.0,release_a,2.0,0.35440078377723694,0.33370938897132874
V0077,release_b,"The narrative concludes with Release B, matching pathway B discharge.",5.0,release_a,4.0,0.24737389385700226,0.3457289934158325
V0078,,"The outcome is Return ER following Release A, which does not exclusively represent a clean discharge path category realization.",,release_a,5.0,,0.0014013733016327024
V0079,release_a,"The narrative concludes with Release A, matching the discharge under pathway A.",7.0,release_b,4.0,0.19036279618740082,0.34032106399536133
V0080,,"The narrative ends with Return ER after Release A, so it does not fit standard successful discharge categories.",,release_a,4.0,,0.00043312355410307646
V0081,,The process ends with IV Liquid and does not reach a discharge disposition.,,release_b,3.0,,0.3669639527797699
V0082,release_a,"The narrative concludes with Release A, matching pathway A.",7.0,release_b,3.0,0.3548559248447418,0.3469698131084442
V0083,,The narrative results in a Return ER event following Release A.,,release_a,2.0,,0.0001340450980933383
V0084,release_c,"The narrative concludes with Release C, matching pathway C discharge.",5.0,release_b,3.0,0.13420222699642181,0.33340534567832947
V0085,,The narrative ends with Return ER after Release A.,,release_a,1.0,,0.00043503878987394273
V0086,release_a,"The narrative concludes with Release A, matching pathway A.",6.0,release_d,3.0,0.021165311336517334,0.3350217342376709
V0087,release_a,"The narrative concludes with Release A, matching pathway A.",5.0,release_c,5.0,0.12160622328519821,0.33558574318885803
V0088,,The process terminates at IV Antibiotics without reaching a discharge destination.,,release_a,4.0,,0.3839285373687744
V0089,,The narrative ends with Return ER after Release A.,,release_a,5.0,,0.0004765109915751964
V0090,release_a,"The narrative concludes with Release A, matching pathway A.",6.0,release_c,3.0,0.01440924871712923,0.3347874581813812
V0091,release_c,"The narrative concludes with Release C, matching pathway C discharge.",13.0,release_a,8.0,0.08348233252763748,0.3336044251918793
V0092,,The process terminates at LacticAcid without completing a discharge.,,release_a,2.0,,0.09228887408971786
V0093,release_d,"The narrative concludes with Release D, matching pathway D discharge.",6.0,release_a,3.0,0.14002251625061035,0.3338777720928192
V0094,,The narrative results in a Return ER after Release A.,,release_a,1.0,,0.0006598744075745344
V0095,release_a,"The narrative concludes with Release A, matching pathway A.",5.0,release_e,2.0,0.03115191124379635,0.33716580271720886
V0096,release_a,"The narrative concludes with Release A, matching pathway A.",6.0,release_b,3.0,0.34859856963157654,0.3675326108932495
V0097,release_a,"The narrative concludes with Release A, matching pathway A.",4.0,release_b,3.0,0.12303313612937927,0.3370126783847809
V0098,,The narrative concludes with Return ER after Release A.,,release_a,1.0,,0.00012047109339619055
V0099,release_a,"The narrative concludes with Release A, matching pathway A.",4.0,release_b,3.0,0.11745133996009827,0.3333558142185211
V0100,release_a,"The narrative concludes with Release A, matching pathway A.",4.0,release_b,1.0,0.015533894300460815,0.3336627781391144
V0101,release_a,The narrative ends with Release A and tracks post-discharge ER returns.,8.0,release_d,6.0,0.43035420775413513,0.00861735362559557
V0102,release_a,"The narrative concludes with Release A, matching pathway A.",4.0,release_c,3.0,0.12722377479076385,0.33377695083618164
V0103,release_a,"The narrative concludes with Release A, matching pathway A.",6.0,release_d,5.0,0.13726980984210968,0.33426615595817566
V0104,release_a,The narrative concludes with Release A and evaluates against subsequent ER returns.,9.0,release_b,4.0,0.7483763098716736,0.33816027641296387
V0105,release_b,"The narrative concludes with Release B, matching pathway B.",9.0,release_a,4.0,0.021725786849856377,0.3333390951156616
V0106,release_a,"The narrative concludes with Release A, matching pathway A.",9.0,release_c,3.0,0.16749773919582367,0.3368864953517914
V0107,release_a,"The narrative concludes with Release A, matching pathway A.",6.0,release_b,6.0,0.0016931082354858518,0.3337821066379547
V0108,release_a,The narrative concludes with Release A and measures against post-discharge ER returns.,4.0,release_d,5.0,0.35670483112335205,0.040950700640678406
V0109,release_a,The narrative concludes with Release A and measures against post-discharge ER returns.,7.0,release_d,5.0,0.6285412907600403,0.12711618840694427
V0110,release_a,The narrative concludes with Release A and measures against post-discharge ER returns.,8.0,release_b,4.0,0.7524129748344421,0.3359905481338501
V0111,,The narrative ends with Admission NC rather than a recognized release category.,,release_a,1.0,,0.0036192431580275297
V0112,release_a,The narrative concludes with Release A and measures against post-discharge ER returns.,4.0,release_b,4.0,0.5086876749992371,0.0247475728392601
V0113,release_b,"The narrative concludes with Release B, matching pathway B.",6.0,release_a,2.0,0.3651614487171173,0.3617938756942749
V0114,release_a,"The narrative concludes with Release A, matching pathway A.",6.0,release_b,4.0,0.1330917626619339,0.3365785777568817
V0115,release_a,The narrative concludes with Release A and evaluates against post-discharge ER returns.,5.0,release_d,5.0,0.4310690462589264,0.009332234971225262
V0116,release_a,The narrative concludes with Release A and measures against post-discharge ER returns.,5.0,release_c,3.0,0.39376959204673767,0.0038859627675265074
V0117,release_d,"The narrative concludes with Release D, matching pathway D.",7.0,release_a,2.0,0.3800358474254608,0.006395623087882996
V0118,release_a,"The narrative concludes with Release A, matching pathway A.",5.0,release_c,6.0,0.01994798518717289,0.3358060121536255
V0119,release_a,"The narrative concludes with Release A, matching pathway A.",6.0,release_b,5.0,0.009431925602257252,0.3333382308483124
V0120,release_a,The narrative concludes with Release A and measures against post-discharge ER returns.,9.0,release_b,6.0,0.5580114722251892,0.17297738790512085
V0121,release_a,The narrative concludes with Release A and measures against post-discharge ER returns.,5.0,release_d,5.0,0.39837589859962463,0.0007203731220215559
V0122,release_a,"The narrative concludes with Release A, matching pathway A.",3.0,release_c,2.0,0.020091786980628967,0.3359498083591461
