variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,"The trace ends at ER Sepsis Triage without reaching a discharge or admission, so none of the standard recovery or disposition categories apply.",,uncomplicated_recovery,2.0,,0.013384795747697353
V0002,,The trace terminates at CRP in the emergency phase without a final disposition or admission.,,early_or_irregular_discharge,1.0,,0.09060267359018326
V0003,,The trace ends at Leucocytes in the emergency phase without proceeding to admission or discharge.,,early_or_irregular_discharge,1.0,,0.01993683911859989
V0004,,"The trace concludes at IV Antibiotics within the ER setting, lacking a subsequent hospital admission or formal discharge event.",,early_or_irregular_discharge,1.0,,0.0031856950372457504
V0005,,The trace stops at LacticAcid during the emergency workup without a recorded admission or discharge disposition.,,early_or_irregular_discharge,1.0,,0.022337401285767555
V0006,,The trace ends with IV Antibiotics administration in the ER without reaching an admission or formal discharge step.,,early_or_irregular_discharge,1.0,,0.0026230309158563614
V0007,,The trace finishes at IV Antibiotics in the ER without a hospital admission or discharge event.,,early_or_irregular_discharge,1.0,,0.000749628699850291
V0008,uncomplicated_recovery,The case is admitted to normal care (Admission NC) and achieves a routine release (Release A) within a standard timeframe (median 3 days) with no care escalations.,4.0,non_home_disposition,1.0,0.3452650308609009,0.0017786488169804215
V0009,,The trace ends with IV Antibiotics in the ER without proceeding to admission or discharge.,,early_or_irregular_discharge,1.0,,0.004415913950651884
V0010,,The trace loops back and terminates at ER Sepsis Triage without reaching a discharge or admission.,,early_or_irregular_discharge,2.0,,0.0369032584130764
V0011,,The trace terminates with IV Antibiotics in the ER without an admission or final discharge.,,early_or_irregular_discharge,1.0,,0.0019087552791461349
V0012,,The trace ends at IV Antibiotics in the emergency department without an admission or discharge event.,,early_or_irregular_discharge,1.0,,0.0006104464991949499
V0013,,The trace ends at Leucocytes in the ER without proceeding to admission or discharge.,,early_or_irregular_discharge,1.0,,0.0037171905860304832
V0014,uncomplicated_recovery,"The case follows a standard course involving admission to normal care followed by release, with a median duration of 4 days and no escalation.",5.0,non_home_disposition,2.0,0.3411200940608978,0.0023663118481636047
V0015,extended_monitoring_recovery,The patient recovers and is released after a stay featuring repeated lab tests (CRP and Leucocytes) and a materially longer observation period before final discharge.,7.0,non_home_disposition,1.0,0.1583881974220276,0.001538728945888579
V0016,extended_monitoring_recovery,The case exhibits an extended observation and recovery period with repeated lab tests prior to release.,7.0,uncomplicated_recovery,1.0,0.1459539830684662,0.00010385151108494028
V0017,,"The trace concludes at ER Sepsis Triage out of order, without reaching an admission or discharge.",,early_or_irregular_discharge,2.0,,0.008604122325778008
V0018,uncomplicated_recovery,The case proceeds normally from ER evaluation to admission and standard release without care escalation.,4.0,extended_monitoring_recovery,2.0,0.3402268588542938,0.003259520046412945
V0019,,The trace ends at IV Antibiotics in the ER without an admission or release event.,,early_or_irregular_discharge,2.0,,0.00492103910073638
V0020,,The trace stops at CRP during the emergency assessment without proceeding to admission or discharge.,,early_or_irregular_discharge,2.0,,0.09317597001791
V0021,non_home_disposition,"The trace ends with a return to the emergency department (Return ER) following a prior release, indicating an unplanned readmission or adverse outcome trajectory.",3.0,extended_monitoring_recovery,2.0,0.012875356711447239,0.0006289064767770469
V0022,uncomplicated_recovery,The patient is admitted and standardly released after a typical stay duration without care escalation.,5.0,extended_monitoring_recovery,1.0,0.3396850824356079,0.0038013113662600517
V0023,non_home_disposition,"The trace terminates with a return to the emergency department (Return ER), representing a non-routine post-discharge disposition outcome.",6.0,uncomplicated_recovery,1.0,0.008263454772531986,0.00020539744582492858
V0024,,The trace ends abruptly at Admission NC without showing the final release or disposition.,,early_or_irregular_discharge,1.0,,0.004364368971437216
V0025,,The trace concludes with IV Antibiotics in the ER without an admission or discharge step.,,early_or_irregular_discharge,2.0,,0.004036775790154934
V0026,uncomplicated_recovery,"The patient follows a standard course to routine discharge (Release A) with subsequent return to ER, having no care escalation during the primary admission.",3.0,non_home_disposition,1.0,0.5365849137306213,0.04577702283859253
V0027,,The trace terminates at IV Antibiotics without reaching a discharge or completion disposition.,,early_or_irregular_discharge,2.0,,5.2188017434673384e-05
V0028,extended_monitoring_recovery,"The trace shows an extended observation period of 102 days before discharge and return to ER, fitting extended monitoring.",8.0,uncomplicated_recovery,1.0,0.5043897032737732,0.0003073322877753526
V0029,,The trace ends abruptly at Leucocytes without reaching a discharge disposition.,,uncomplicated_recovery,2.0,,0.006358904764056206
V0030,uncomplicated_recovery,The patient has a standard admission and routine release (Release A) within a moderate timeframe.,4.0,extended_monitoring_recovery,2.0,0.007929055951535702,0.0012604283401742578
V0031,,The trace ends at LacticAcid without any recorded admission or discharge.,,early_or_irregular_discharge,2.0,,0.0012343546841293573
V0032,uncomplicated_recovery,Standard course leading to Release A without care escalation.,6.0,non_home_disposition,1.0,0.3699958324432373,5.056213922216557e-05
V0033,extended_monitoring_recovery,"The duration median is 183 days, indicating a materially longer observation/stay pattern before release.",7.0,non_home_disposition,1.0,0.6324803233146667,0.003758639097213745
V0034,,The trace terminates at IV Liquid without a discharge event.,,early_or_irregular_discharge,1.0,,0.014998753555119038
V0035,uncomplicated_recovery,Standard admission and release path with no complications or escalation.,4.0,extended_monitoring_recovery,1.0,0.014123770408332348,0.0008179508149623871
V0036,,The trace ends at CRP without a discharge or completion event.,,early_or_irregular_discharge,2.0,,0.09848365187644958
V0037,uncomplicated_recovery,The patient is admitted and released via Release B with a normal duration pattern.,4.0,early_or_irregular_discharge,1.0,0.682192325592041,0.04676935449242592
V0038,,The trace stops at IV Antibiotics without an admission or discharge.,,early_or_irregular_discharge,2.0,,0.0009278920479118824
V0039,uncomplicated_recovery,The case follows a standard course to Release A.,6.0,extended_monitoring_recovery,3.0,0.12414468079805374,0.0005369993159547448
V0040,,The trace ends at Admission NC without reaching a discharge disposition.,,uncomplicated_recovery,1.0,,0.0018286644481122494
V0041,uncomplicated_recovery,Routine course leading to Release A.,2.0,extended_monitoring_recovery,1.0,0.12172544002532959,0.005227545276284218
V0042,uncomplicated_recovery,Routine course leading to Release A.,5.0,extended_monitoring_recovery,2.0,0.009240204468369484,0.0025715776719152927
V0043,,The trace stops at LacticAcid without an admission or discharge.,,early_or_irregular_discharge,1.0,,0.011166810989379883
V0044,uncomplicated_recovery,Routine course leading to Release A.,3.0,non_home_disposition,1.0,0.012320753186941147,0.005652125924825668
V0045,uncomplicated_recovery,"The patient is admitted, released via Release A, and later returns to ER with no escalation during the stay.",6.0,non_home_disposition,2.0,0.7311265468597412,0.002805172698572278
V0046,uncomplicated_recovery,Standard hospital stay leading to Release A.,4.0,non_home_disposition,1.0,0.006328539457172155,0.0009094090783037245
V0047,uncomplicated_recovery,Standard hospital stay leading to Release A.,5.0,early_or_irregular_discharge,1.0,0.3604518473148346,0.014112981967628002
V0048,uncomplicated_recovery,Standard hospital stay leading to Release A.,3.0,extended_monitoring_recovery,2.0,0.003680954920127988,0.0015468252822756767
V0049,extended_monitoring_recovery,The duration median of 234 days reflects an extended monitoring period before release.,8.0,non_home_disposition,2.0,0.528480052947998,0.00011380133219063282
V0050,,The trace stops at CRP without an admission or discharge event.,,early_or_irregular_discharge,1.0,,0.08461222797632217
V0051,uncomplicated_recovery,The case follows a standard course to routine release (Release A) with standard observation duration and no care escalation.,4.0,extended_monitoring_recovery,1.0,0.11183346062898636,0.002111108275130391
V0052,non_home_disposition,"The trace ends in Return ER after discharge, representing a non-home disposition / readmission pattern.",3.0,extended_monitoring_recovery,1.0,0.02015628106892109,0.0011550614144653082
V0053,uncomplicated_recovery,The case is a direct and short uncomplicated recovery ending in Release A.,6.0,early_or_irregular_discharge,2.0,0.36335504055023193,0.011209800839424133
V0054,non_home_disposition,The trace ends with Return ER following the initial release.,4.0,extended_monitoring_recovery,1.0,0.0073957848362624645,0.0006622723885811865
V0055,non_home_disposition,The trace ends with Return ER following the release.,3.0,uncomplicated_recovery,1.0,0.1154530942440033,0.0005811529117636383
V0056,early_or_irregular_discharge,The trace ends prematurely at IV Antibiotics without completing a standard admission or discharge cycle.,3.0,uncomplicated_recovery,3.0,0.04364530369639397,0.3636181652545929
V0057,uncomplicated_recovery,The case follows a standard path to Release A with no care escalation or extended stay.,3.0,extended_monitoring_recovery,2.0,0.36102375388145447,0.013541102409362793
V0058,uncomplicated_recovery,The case follows a standard uncomplicated recovery course leading to Release A.,5.0,non_home_disposition,1.0,0.35577845573425293,0.012292074970901012
V0059,uncomplicated_recovery,Uncomplicated recovery ending in Release A with standard monitoring.,3.0,non_home_disposition,1.0,0.016743136569857597,0.0022903818171471357
V0060,non_home_disposition,The trace ends in Return ER after release.,4.0,uncomplicated_recovery,1.0,0.02967408113181591,0.0018295705085620284
