variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative ends in ER Sepsis Triage and does not reach any admission or release pathway.,,admission_nc,2.0,,0.3891150653362274
V0002,,The narrative terminates at CRP testing without any subsequent admission or discharge events.,,admission_nc,1.0,,0.37631967663764954
V0003,,The narrative stops at Leucocytes blood test without an inpatient admission or release pathway.,,release_a,2.0,,0.3832360804080963
V0004,,The patient receives IV Antibiotics in the ER but is not admitted or discharged within this sequence.,,admission_nc,1.0,,0.08746704459190369
V0005,,The narrative ends with LacticAcid testing without progressing to admission or release.,,admission_nc,1.0,,0.37761950492858887
V0006,,The patient receives IV antibiotics in the emergency setting but the process variant ends there.,,release_b,2.0,,0.06501110643148422
V0007,,The process variant concludes after administering IV antibiotics in the ER without an admission or release event.,,admission_nc,1.0,,0.05796925723552704
V0008,release_a,The patient is admitted to normal care and subsequently discharged via Release A.,7.0,admission_nc,1.0,0.36189985275268555,0.01051342487335205
V0009,,The variant ends with IV Antibiotics administration in the ER without reaching an admission or release category.,,release_a,2.0,,0.07609784603118896
V0010,,The narrative ends at ER Sepsis Triage and lacks any admission or release endpoint.,,release_a,2.0,,0.3388270139694214
V0011,,The process concludes following IV Antibiotics in the ER without proceeding to admission or release.,,admission_nc,1.0,,0.061119209975004196
V0012,,The sequence stops at IV Antibiotics without an inpatient admission or discharge category.,,admission_nc,2.0,,0.12144941836595535
V0013,,The narrative terminates at Leucocytes evaluation without reaching any of the target categories.,,release_a,3.0,,0.367016464471817
V0014,release_a,The patient undergoes normal care admission followed by Release A.,8.0,admission_nc,1.0,0.3577549159526825,0.009862419217824936
V0015,release_a,The patient is admitted to normal care (Admission NC) and subsequently discharged via Release A.,4.0,admission_nc,2.0,0.03566834703087807,0.0022903818171471357
V0016,release_a,The narrative shows admission to normal care followed by Release A.,2.0,admission_nc,1.0,0.023234130814671516,0.00010385151108494028
V0017,,The trace stops at ER Sepsis Triage without any admission or release pathway.,,admission_nc,2.0,,0.36712613701820374
V0018,release_a,The patient is admitted to normal care and discharged through Release A.,6.0,admission_nc,1.0,0.3568616807460785,0.008969211019575596
V0019,,The narrative ends at IV Antibiotics in the emergency department without reaching admission or release.,,release_a,3.0,,0.07660297304391861
V0020,,The process variant terminates at CRP testing in the ER.,,admission_nc,3.0,,0.3788929879665375
V0021,release_a,"Although the patient experiences a return to the ER later, the initial discharge follows Release A after admission to normal care.",5.0,admission_nc,2.0,0.3730107843875885,0.005479572340846062
V0022,release_a,The patient is admitted to normal care and successfully discharged via Release A.,6.0,release_c,1.0,0.3563199043273926,0.008427419699728489
V0023,release_a,The primary admission leads to normal care and Release A before a subsequent return to the ER.,8.0,admission_nc,3.0,0.37762269377708435,0.0008676698780618608
V0024,admission_nc,"The patient is admitted to normal care (Admission NC), realizing the Admission to Normal Care category.",6.0,release_a,3.0,0.7835166454315186,0.3410704433917999
V0025,,The sequence ends with IV Antibiotics in the emergency setting without an admission or release event.,,release_a,2.0,,0.06359736621379852
