variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,referred_to_collections,The trace ends with Send for Credit Collection after the standard process without payment or dispute.,2.0,single_payment_settlement,1.0,0.017405163496732712,0.33374977111816406
V0002,single_payment_settlement,A single Payment activity settles the fine immediately.,4.0,unresolved_other,1.0,0.2281332165002823,0.21015578508377075
V0003,unresolved_other,"The trace ends at Send Fine without payment, dispute, or collection referral.",0.0,single_payment_settlement,1.0,0.015334241092205048,0.33492860198020935
V0004,single_payment_settlement,The fine is settled through a single Payment activity after notifications and penalties.,1.0,referred_to_collections,1.0,0.006649890448898077,0.0029525740537792444
V0005,installment_settlement,Multiple Payment events indicate installment or partial-payment settlement behavior.,1.0,single_payment_settlement,1.0,0.02241422049701214,0.05990925803780556
V0006,installment_settlement,"The narrative includes multiple Payment events, constituting an installment pattern.",2.0,single_payment_settlement,1.0,0.03297964110970497,0.07047467678785324
V0007,single_payment_settlement,The case concludes with a single Payment transaction.,3.0,unresolved_other,1.0,0.07071322202682495,0.052735794335603714
V0008,formal_dispute,The offender contests the fine by sending an appeal to the prefecture.,0.0,single_payment_settlement,1.0,0.011704887263476849,0.0007805326604284346
V0009,referred_to_collections,"Despite a partial payment, the case ultimately escalates to external collections.",2.0,single_payment_settlement,1.0,0.018745308741927147,0.33508992195129395
V0010,referred_to_collections,The case ends with Send for Credit Collection after uncompleted payment steps.,3.0,installment_settlement,1.0,0.022672250866889954,0.3334667682647705
V0011,formal_dispute,"The trace includes an appeal sent to the prefecture, representing a formal dispute.",2.0,single_payment_settlement,1.0,0.0057556480169296265,0.006729772314429283
V0012,unresolved_other,"Payment happens first followed by Send Fine, leaving the case status ambiguous and unresolved.",1.0,single_payment_settlement,1.0,0.04559949040412903,0.33692148327827454
V0013,single_payment_settlement,"After a formal dispute and its resolution, the fine is settled via a single final payment.",3.0,referred_to_collections,1.0,0.0074508520774543285,0.00016303516167681664
V0014,single_payment_settlement,"An appeal to a judge occurs, followed eventually by a single payment settling the fine.",1.0,installment_settlement,1.0,0.028813635930418968,0.005550093483179808
V0015,formal_dispute,The variant consists entirely of initiating and sending an appeal to the prefecture.,2.0,single_payment_settlement,1.0,0.03263473138213158,0.01770135760307312
V0016,single_payment_settlement,"A formal dispute is processed and concluded, followed by a single settlement payment.",3.0,referred_to_collections,1.0,0.015168587677180767,0.002321308245882392
V0017,referred_to_collections,"A dispute is lodged with a judge, but the case ultimately escalates to collections.",3.0,single_payment_settlement,1.0,0.009527665562927723,0.33523401618003845
V0018,installment_settlement,Multiple payment occurrences indicate an installment structure.,3.0,single_payment_settlement,1.0,0.03273193538188934,0.07022697478532791
V0019,referred_to_collections,"An appeal process concludes, but the case is ultimately referred to external collections.",2.0,single_payment_settlement,1.0,0.0,0.33593234419822693
V0020,referred_to_collections,"Despite an appeal process, the case ultimately ends in a collection referral.",2.0,single_payment_settlement,1.0,0.011376958340406418,0.3356766998767853
V0021,installment_settlement,Three separate payment actions characterize this installment-settlement variant.,0.0,referred_to_collections,1.0,0.01579173095524311,0.02170330472290516
V0022,single_payment_settlement,"An appeal is handled and concluded, followed by a single payment.",4.0,referred_to_collections,1.0,0.0013996813213452697,0.002297634957358241
V0023,installment_settlement,Multiple payment transactions show an installment payment structure.,4.0,single_payment_settlement,1.0,0.08221358805894852,0.11970862746238708
V0024,installment_settlement,Repeated payments indicate an installment or partial-payment pattern.,3.0,single_payment_settlement,1.0,0.03691635653376579,0.07441139966249466
V0025,referred_to_collections,"An appeal is processed, but the case ultimately goes to credit collection.",2.0,single_payment_settlement,1.0,0.0017929569585248828,0.3341393768787384
V0026,referred_to_collections,"The trace ends with Send for Credit Collection, indicating the fine was referred to external collections.",3.0,installment_settlement,1.0,0.014266159385442734,0.33387914299964905
V0027,formal_dispute,"The narrative includes formal appeals up to the judge (Appeal to Judge), indicating a formal dispute.",3.0,single_payment_settlement,1.0,0.345302015542984,0.3346560299396515
V0028,installment_settlement,"Multiple Payment activities are recorded over time without any dispute or collections, realizing an installment or partial-payment settlement.",3.0,single_payment_settlement,1.0,0.06230004131793976,0.09979508072137833
V0029,formal_dispute,"The case ends with an Appeal to Judge, representing a formal dispute.",2.0,referred_to_collections,1.0,0.3464986979961395,0.3340132534503937
V0030,formal_dispute,"The trace involves appealing to the prefecture and notifying the result, which constitutes a formal dispute.",2.0,single_payment_settlement,1.0,0.3362460136413574,0.0035430535208433867
V0031,formal_dispute,"Although a payment is made, there is a prior formal dispute (Appeal to Judge) on record.",3.0,single_payment_settlement,1.0,0.3911702334880829,0.0013200849061831832
V0032,formal_dispute,"The process involves filing an appeal and receiving results from the prefecture, indicating a formal dispute.",2.0,installment_settlement,1.0,0.3517422378063202,0.3368088901042938
V0033,formal_dispute,The case contains formal appeals and ends with a payment after the dispute process.,4.0,single_payment_settlement,1.0,0.37733912467956543,0.00045500797568820417
V0034,formal_dispute,"The trace involves prefecture appeals and notification of results, representing a formal dispute.",4.0,single_payment_settlement,1.0,0.3352867066860199,0.0013230106560513377
V0035,formal_dispute,"The trace includes prefecture appeals and concludes with an appeal to a judge, indicating a formal dispute.",4.0,single_payment_settlement,1.0,0.34048518538475037,0.3336153030395508
V0036,installment_settlement,"Multiple payment events occur across the trace, showing a pattern of installment or partial payments.",2.0,referred_to_collections,1.0,0.03308900073170662,0.07058403640985489
V0037,formal_dispute,"The trace features an appeal to a judge followed by multiple payments, constituting a formal dispute.",3.0,installment_settlement,1.0,0.7325809597969055,0.00041855929885059595
V0038,formal_dispute,"The trace consists of appealing to the prefecture and receiving results, realizing a formal dispute.",1.0,single_payment_settlement,1.0,0.33527079224586487,0.3335515260696411
V0039,installment_settlement,"There is a formal appeal process started but payment is ultimately made in installments or after a payment plan, wait - looking closer, it has an appeal and a single payment. However, it involves dispute steps. Let's classify as formal_dispute because it includes appeal to prefecture.",3.0,formal_dispute,1.0,0.33515334129333496,5.510637038241839e-06
V0040,referred_to_collections,"The trace ends with Send for Credit Collection after an appeal, realizing referral to collections.",2.0,formal_dispute,1.0,0.009402916766703129,0.33510926365852356
V0041,formal_dispute,"The trace includes prefecture appeals and results, followed by a payment, representing a formal dispute.",4.0,referred_to_collections,1.0,0.33658567070961,0.0017474755877628922
V0042,formal_dispute,"The trace includes prefecture appeals and results, followed by a payment, representing a formal dispute.",2.0,single_payment_settlement,1.0,0.34678778052330017,0.00016303516167681664
V0043,referred_to_collections,"The trace ends with Send for Credit Collection, indicating escalation to external collections.",3.0,installment_settlement,1.0,0.020344438031315804,0.33488819003105164
V0044,installment_settlement,"Multiple payments are recorded over time without dispute, realizing an installment settlement.",2.0,formal_dispute,1.0,0.021643109619617462,0.05913814902305603
V0045,installment_settlement,"Four separate Payment events occur over time, realizing an installment or partial-payment settlement.",1.0,referred_to_collections,1.0,0.023375103250145912,0.014119935221970081
V0046,formal_dispute,"The trace consists of prefecture appeal activities and ends with notifying the result, realizing a formal dispute.",3.0,single_payment_settlement,1.0,0.3417385518550873,0.00903556402772665
V0047,formal_dispute,"The trace involves prefecture appeals and finishes with an appeal to a judge, realizing a formal dispute.",5.0,single_payment_settlement,1.0,0.3444582223892212,0.33453771471977234
V0048,installment_settlement,"Multiple payments are recorded, indicating an installment or partial-payment settlement.",4.0,single_payment_settlement,1.0,0.06731908768415451,0.10481411963701248
V0049,formal_dispute,"The trace includes prefecture appeals and results before a final payment, realizing a formal dispute.",4.0,single_payment_settlement,1.0,0.35108497738838196,0.00022560743673238903
V0050,formal_dispute,"The trace includes prefecture appeal steps before a final payment, realizing a formal dispute.",3.0,single_payment_settlement,1.0,0.33609816431999207,0.0022350053768604994
V0051,referred_to_collections,The trace ends with Send for Credit Collection after being escalated through appeals and penalties.,3.0,formal_dispute,1.0,0.00021177421149332076,0.33572056889533997
V0052,formal_dispute,The trace involves an appeal process to the prefecture and concludes with Send Appeal to Prefecture.,2.0,single_payment_settlement,1.0,0.07417158782482147,0.016582997515797615
V0053,formal_dispute,The offender logged a formal appeal to the prefecture despite a payment occurring mid-trace.,1.0,installment_settlement,2.0,0.01750011183321476,0.0025667399168014526
V0054,single_payment_settlement,The fine concludes with a single Payment activity without any formal dispute or collections.,0.0,installment_settlement,1.0,0.004281948786228895,0.0012913530226796865
V0055,formal_dispute,The case involves filing a formal appeal to the prefecture.,2.0,referred_to_collections,2.0,0.10526154190301895,0.0027148013468831778
V0056,single_payment_settlement,"Although a formal appeal was lodged and judged, the final outcome is a single Payment settling the fine.",4.0,formal_dispute,1.0,0.023903079330921173,0.000639535894151777
V0057,referred_to_collections,The trace concludes with a referral to external credit collections.,2.0,formal_dispute,1.0,0.3747650682926178,0.001717108185403049
V0058,formal_dispute,The trace includes formal dispute filings and concludes after receiving the result of the appeal.,3.0,single_payment_settlement,1.0,0.34470924735069275,0.3347887694835663
