variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,three_way_matched_after_gr,"Goods receipt precedes invoice receipt, leading to a standard 3-way match.",3.0,three_way_matched_before_gr,1.0,0.3397471606731415,1.0375811143603642e-05
V0002,three_way_matched_after_gr,"Goods receipt precedes invoice receipt, fitting the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33616769313812256,1.5803054338903166e-05
V0003,,The process ends at Record Goods Receipt without an invoice being recorded or cleared.,,three_way_matched_after_gr,1.0,,0.0002968281623907387
V0004,three_way_matched_before_gr,Invoice is created and recorded before the goods receipt occurs.,1.0,three_way_matched_after_gr,1.0,0.3348783552646637,1.0000213706007344e-06
V0005,three_way_matched_after_gr,"Goods receipt is recorded before the invoice receipt, resulting in 3-way matching after GR.",3.0,two_way_matched,1.0,0.3333559036254883,5.712707570637576e-05
V0006,three_way_matched_after_gr,Goods receipt occurs before the invoice receipt is recorded.,4.0,three_way_matched_before_gr,1.0,0.3413335382938385,3.871308945235796e-05
V0007,three_way_matched_before_gr,Vendor creates invoice and record invoice receipt happen before goods receipt is recorded.,2.0,three_way_matched_after_gr,1.0,0.3362138271331787,1.0760294571809936e-05
V0008,three_way_matched_after_gr,Goods receipt precedes invoice receipt.,3.0,three_way_matched_before_gr,1.0,0.3347170352935791,1.7414946341887116e-05
V0009,,"The purchase order item is deleted, so no matching or execution occurs.",,three_way_matched_after_gr,2.0,,0.052841175347566605
V0010,three_way_matched_after_gr,Goods receipt is recorded before the invoice receipt.,3.0,three_way_matched_before_gr,1.0,0.3369126617908478,1.631987288419623e-05
V0011,three_way_matched_after_gr,Goods receipt precedes record invoice receipt.,5.0,three_way_matched_before_gr,1.0,0.6826896071434021,2.4574050257797353e-05
V0012,,Process stops at Record Goods Receipt without any invoice handling.,,two_way_matched,1.0,,0.00023286370560526848
V0013,three_way_matched_after_gr,Goods receipt precedes the invoice receipt.,4.0,three_way_matched_before_gr,1.0,0.6855823397636414,0.0004660844861064106
V0014,,Incomplete process ending immediately at Create Purchase Order Item.,,three_way_matched_after_gr,2.0,,0.5159500241279602
V0015,three_way_matched_before_gr,Vendor creates invoice before goods receipt is recorded.,3.0,three_way_matched_after_gr,1.0,0.6820647120475769,2.3251661332324147e-05
V0016,three_way_matched_after_gr,Goods receipt occurs before invoice receipt.,4.0,three_way_matched_before_gr,2.0,0.3411544859409332,4.582580459100427e-06
V0017,three_way_matched_after_gr,Goods receipt is recorded before invoice receipt.,5.0,three_way_matched_before_gr,1.0,0.6971949934959412,0.0017618000274524093
V0018,three_way_matched_after_gr,Goods receipt happens before invoice receipt is recorded.,5.0,three_way_matched_before_gr,1.0,0.6846298575401306,6.966866203583777e-05
V0019,three_way_matched_after_gr,Vendor creates invoice and goods receipt are followed by invoice receipt.,3.0,three_way_matched_before_gr,1.0,0.3339040279388428,1.5505949704675004e-05
V0020,three_way_matched_before_gr,Invoice is created before the PO and goods receipt.,3.0,three_way_matched_after_gr,1.0,0.34254443645477295,0.000120417149446439
V0021,three_way_matched_before_gr,Vendor creates invoice before goods receipt is recorded.,2.0,three_way_matched_after_gr,1.0,0.3383573591709137,2.505644988559652e-05
V0022,three_way_matched_after_gr,Goods receipt precedes invoice receipt.,4.0,three_way_matched_before_gr,1.0,0.33535197377204895,2.2672475097351708e-05
V0023,three_way_matched_after_gr,Goods receipt happens before invoice receipt.,3.0,three_way_matched_before_gr,1.0,0.3344268500804901,3.0446310120169073e-05
V0024,,Incomplete trace ending with Create Purchase Order Item.,,three_way_matched_before_gr,2.0,,0.34760046005249023
V0025,three_way_matched_before_gr,Vendor creates invoice before goods receipt.,3.0,three_way_matched_after_gr,1.0,0.33966097235679626,2.2126391741039697e-06
V0026,three_way_matched_before_gr,Invoice receipt occurs before goods receipt.,3.0,three_way_matched_after_gr,1.0,0.35137948393821716,0.0002997630799654871
V0027,three_way_matched_after_gr,Goods receipt is recorded before record invoice receipt.,5.0,three_way_matched_before_gr,1.0,0.6768339276313782,0.0005129635101184249
V0028,three_way_matched_after_gr,Goods receipt precedes invoice receipt.,4.0,three_way_matched_before_gr,1.0,0.6918926239013672,0.0006728882435709238
V0029,,Purchase order item is deleted.,,three_way_matched_before_gr,2.0,,0.027284391224384308
V0030,three_way_matched_after_gr,Goods receipt precedes record invoice receipt.,5.0,three_way_matched_before_gr,1.0,0.6827432513237,2.5950153940357268e-05
V0031,three_way_matched_after_gr,Goods receipt occurs before record invoice receipt.,5.0,three_way_matched_before_gr,1.0,0.6776936650276184,0.0
V0032,three_way_matched_after_gr,Goods receipt precedes invoice receipt.,3.0,two_way_matched,1.0,0.3363088071346283,1.596400761627592e-05
V0033,three_way_matched_after_gr,Goods receipt happens before invoice receipt.,4.0,three_way_matched_before_gr,1.0,0.33492934703826904,3.0326116757350974e-05
V0034,,Trace ends at Record Goods Receipt without invoice handling.,,three_way_matched_after_gr,1.0,,0.0023386829998344183
V0035,three_way_matched_before_gr,Vendor creates invoice before goods receipt.,2.0,three_way_matched_after_gr,1.0,0.3352142870426178,1.9798296762019163e-06
V0036,three_way_matched_after_gr,Goods receipt precedes invoice receipt.,5.0,three_way_matched_before_gr,1.0,0.33528319001197815,5.01959164012078e-07
V0037,,Purchase order item is deleted.,,three_way_matched_after_gr,2.0,,0.02160472236573696
V0038,three_way_matched_after_gr,Goods receipt precedes invoice receipt.,4.0,three_way_matched_before_gr,1.0,0.3364067077636719,4.0480290408595465e-07
V0039,,Trace ends at Record Goods Receipt without invoice activities.,,three_way_matched_after_gr,1.0,,4.970142254023813e-05
V0040,three_way_matched_before_gr,Vendor creates invoice before goods receipt.,2.0,three_way_matched_after_gr,1.0,0.33503806591033936,6.000127086736029e-06
V0041,three_way_matched_after_gr,Goods receipt occurs before invoice receipt.,4.0,three_way_matched_before_gr,1.0,0.33568546175956726,6.8458243731583934e-06
V0042,,Incomplete trace with repeated goods receipt and no invoice activities.,,three_way_matched_after_gr,1.0,,0.0002480542752891779
V0043,three_way_matched_after_gr,Goods receipt precedes invoice receipt.,5.0,three_way_matched_before_gr,1.0,0.676217257976532,0.0002771076688077301
V0044,three_way_matched_before_gr,Vendor creates invoice before goods receipt.,2.0,three_way_matched_after_gr,1.0,0.33453765511512756,1.2833985238103196e-05
V0045,three_way_matched_before_gr,Vendor creates invoice before goods receipt.,2.0,three_way_matched_after_gr,1.0,0.6786479949951172,0.0005981071735732257
V0046,,Trace stops at Record Goods Receipt without invoices.,,three_way_matched_after_gr,2.0,,0.00010374777048127726
