variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,referred_to_collections,The narrative ends with Send for Credit Collection after the standard fine creation and penalty steps.,2.0,single_payment_settlement,1.0,0.017405163496732712,0.33374977111816406
V0002,single_payment_settlement,The fine is settled with a single Payment activity shortly after creation with no dispute or collections.,4.0,unresolved_other,1.0,0.22741924226284027,0.20391619205474854
V0003,unresolved_other,"The trace ends at Send Fine without any payment, dispute, or collection referral.",4.0,single_payment_settlement,1.0,0.0,0.015334241092205048
V0004,single_payment_settlement,The fine is settled via a single Payment event following fine notification and penalty.,1.0,referred_to_collections,1.0,0.00736386701464653,0.0029525740537792444
V0005,installment_settlement,"Multiple Payment events are observed, indicating an installment or partial-payment settlement structure.",1.0,single_payment_settlement,1.0,0.02429715357720852,0.022674480453133583
V0006,installment_settlement,"Rework observed where Payment was repeated, denoting an installment or partial-payment structure.",2.0,single_payment_settlement,1.0,0.03486257418990135,0.033239901065826416
V0007,single_payment_settlement,A single Payment transaction concludes the process after sending the fine.,3.0,unresolved_other,1.0,0.06999924778938293,0.0464961975812912
V0008,formal_dispute,The case involves a formal dispute channel through Send Appeal to Prefecture.,0.0,single_payment_settlement,1.0,0.011704887263476849,0.0858764722943306
V0009,referred_to_collections,"Despite an initial payment, the case ultimately ends with Send for Credit Collection.",2.0,single_payment_settlement,1.0,0.018745308741927147,0.33508992195129395
V0010,referred_to_collections,The process concludes with Send for Credit Collection following a payment and penalty.,3.0,installment_settlement,1.0,0.022672250866889954,0.3334667682647705
V0011,formal_dispute,"Involves an appeal filed to the prefecture, representing a formal dispute.",2.0,single_payment_settlement,1.0,0.0057556480169296265,0.0799272358417511
V0012,single_payment_settlement,"The sequence shows an early payment followed by sending the fine, resulting in a settled fine.",5.0,unresolved_other,1.0,0.43200257420539856,0.02757914364337921
V0013,single_payment_settlement,"Despite a formal appeal process, the case ultimately settles with a single final Payment event.",3.0,referred_to_collections,1.0,0.006736875046044588,0.00016303516167681664
V0014,single_payment_settlement,Includes a judge appeal followed eventually by a single Payment event covering the fine.,1.0,installment_settlement,1.0,0.029527612030506134,0.004910557065159082
V0015,formal_dispute,"The process consists entirely of fine creation, appeal insertion, and sending an appeal to the prefecture.",2.0,single_payment_settlement,1.0,0.03263473138213158,0.10680631548166275
V0016,single_payment_settlement,The formal dispute is resolved and a single Payment is made to settle the fine.,3.0,referred_to_collections,1.0,0.014454610645771027,0.002321308245882392
V0017,referred_to_collections,The case includes an appeal to a judge but ultimately ends with Send for Credit Collection.,3.0,single_payment_settlement,1.0,0.009527665562927723,0.33523401618003845
V0018,installment_settlement,"Payment was repeated, indicating installment or partial payments.",3.0,single_payment_settlement,1.0,0.034614868462085724,0.03299219533801079
V0019,referred_to_collections,"After an appeal process and notification, the case is escalated via Send for Credit Collection.",2.0,single_payment_settlement,1.0,0.0,0.33593234419822693
V0020,referred_to_collections,"Following prefecture appeal procedures, the case is referred to external collections.",2.0,single_payment_settlement,1.0,0.011376958340406418,0.3356766998767853
V0021,installment_settlement,Multiple repeated Payment events indicate installment-based fine settlement.,0.0,referred_to_collections,1.0,0.013908796943724155,0.015531469136476517
V0022,single_payment_settlement,"After an appeal process, the fine is resolved through a single Payment.",4.0,referred_to_collections,1.0,0.0021136580035090446,0.002297634957358241
V0023,installment_settlement,"Rework observed where Payment was repeated, denoting installment payments.",4.0,single_payment_settlement,1.0,0.0840965211391449,0.08247385174036026
V0024,installment_settlement,"Payments occur multiple times within the variant trace, representing an installment structure.",3.0,single_payment_settlement,1.0,0.03879928961396217,0.037176620215177536
