variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,straight_through_processing,"The invoice is processed and paid completely without exceptions, blocks, or discrepancies.",8.0,delayed_or_blocked_payment,1.0,0.3352627754211426,1.0375811143603642e-05
V0002,straight_through_processing,Standard flow leading to invoice clearing with no intervention or discrepancy.,7.0,delayed_or_blocked_payment,1.0,0.33498334884643555,1.5803054338903166e-05
V0003,,The process ends at Record Goods Receipt without payment or completion.,,cancelled_or_reversed,1.0,,0.0004912143340334296
V0004,delayed_or_blocked_payment,Contains a Remove Payment Block activity before invoice clearing.,2.0,straight_through_processing,1.0,0.3362863063812256,2.375156100242748e-06
V0005,straight_through_processing,"Order confirmation included, but otherwise straightforward processing to clear invoice.",7.0,delayed_or_blocked_payment,1.0,0.3378402888774872,4.004822039860301e-05
V0006,straight_through_processing,"Includes a requisition step, but completes without exception or payment block.",9.0,delayed_or_blocked_payment,1.0,0.3368491232395172,3.895186637237202e-06
V0007,delayed_or_blocked_payment,Includes Remove Payment Block event before final invoice clearance.,3.0,discrepancy_resolved,1.0,0.3376217186450958,1.86555025720736e-05
V0008,delayed_or_blocked_payment,Includes Remove Payment Block event indicating a payment block occurred.,2.0,straight_through_processing,1.0,0.33365294337272644,3.758809543796815e-05
V0009,cancelled_or_reversed,"The purchase order item is deleted, resulting in cancellation.",5.0,delayed_or_blocked_payment,1.0,0.7496585845947266,0.34116148948669434
V0010,straight_through_processing,Standard processing flow with an order confirmation and no exceptions.,8.0,discrepancy_resolved,1.0,0.3342384099960327,1.631987288419623e-05
V0011,,The process terminates at Record Invoice Receipt without reaching payment.,,straight_through_processing,1.0,,4.52059721283149e-05
V0012,,The process ends at Record Goods Receipt without invoice receipt or payment.,,cancelled_or_reversed,1.0,,6.418859265977517e-05
V0013,,The process terminates at Record Invoice Receipt without being cleared or paid.,,straight_through_processing,1.0,,4.434079164639115e-05
V0014,,Incomplete trace ending immediately after creating the purchase order item.,,cancelled_or_reversed,1.0,,0.3333333432674408
V0015,,The process stops at Record Invoice Receipt without a final payment clearance.,,straight_through_processing,1.0,,2.3251661332324147e-05
V0016,straight_through_processing,Standard end-to-end processing leading to invoice clearance without blocks.,8.0,delayed_or_blocked_payment,1.0,0.3366701304912567,4.582580459100427e-06
V0017,,The case ends at Record Invoice Receipt without completing payment.,,straight_through_processing,1.0,,7.288854976650327e-05
V0018,,Terminates at Record Invoice Receipt without payment completion.,,straight_through_processing,1.0,,7.532727613579482e-05
V0019,discrepancy_resolved,"A Change Quantity activity occurs, indicating a discrepancy was corrected before payment.",3.0,straight_through_processing,1.0,0.3334328234195709,1.5505949704675004e-05
V0020,straight_through_processing,"Invoice created before PO, but processed and cleared normally without blocks.",9.0,delayed_or_blocked_payment,1.0,0.3384038507938385,9.646503167459741e-05
V0021,delayed_or_blocked_payment,Includes a Remove Payment Block activity prior to invoice clearance.,3.0,straight_through_processing,1.0,0.3397652804851532,2.505644988559652e-05
V0022,delayed_or_blocked_payment,Features a Remove Payment Block step indicating a blocked payment.,2.0,straight_through_processing,1.0,0.336416095495224,2.2672475097351708e-05
V0023,discrepancy_resolved,"Includes a Change Quantity activity, showing a resolved discrepancy.",3.0,straight_through_processing,1.0,0.335097074508667,2.328455047972966e-05
V0024,,Incomplete trace ending at Create Purchase Order Item.,,cancelled_or_reversed,1.0,,0.33539411425590515
V0025,discrepancy_resolved,"Features a Change Price activity, indicating a discrepancy was resolved before payment.",3.0,straight_through_processing,1.0,0.33933451771736145,2.2126391741039697e-06
V0026,delayed_or_blocked_payment,"The narrative includes a payment block removal event ('Remove Payment Block') and ends with invoice clearing, characteristic of delayed or blocked payment.",4.0,discrepancy_resolved,1.0,0.35278740525245667,2.3558301109005697e-05
V0027,,"The case ends with 'Record Invoice Receipt' without reaching payment or cancellation, leaving it outside the standard categories.",,delayed_or_blocked_payment,1.0,,0.00018354308849666268
V0028,,The process terminates at 'Record Invoice Receipt' without payment or cancellation.,,straight_through_processing,1.0,,0.0002827541611623019
V0029,cancelled_or_reversed,"The purchase order item was deleted ('Delete Purchase Order Item'), indicating cancellation.",6.0,discrepancy_resolved,1.0,0.724101722240448,0.3336552381515503
V0030,,"The process ends at 'Record Invoice Receipt' without being completed through to payment, blocked, or cancelled.",,straight_through_processing,1.0,,8.432253707724158e-06
V0031,delayed_or_blocked_payment,"The narrative includes a payment block removal event ('Remove Payment Block'), which indicates a blocked payment.",4.0,straight_through_processing,1.0,0.6787578463554382,0.0007682539871893823
