scope,scope_kind,category_name,element_id,element_type,element_name,satisfaction,is_measured_seed
__baseline__,baseline,,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
__baseline__,baseline,,3,Goal,Fine is issued and formally communicated,0,False
__baseline__,baseline,,4,Goal,Fine case is resolved,0,False
__baseline__,baseline,,5,Goal,Fine becomes enforceable and is resolved,0,False
__baseline__,baseline,,6,Goal,Enforced case is closed,0,False
__baseline__,baseline,,7,Goal,Contested appeal is resolved,0,False
__baseline__,baseline,,8,Task,Create Fine,0,False
__baseline__,baseline,,9,Task,Send Fine,0,False
__baseline__,baseline,,10,Task,Insert Fine Notification,0,False
__baseline__,baseline,,11,Task,Add Penalty,0,False
__baseline__,baseline,,12,Task,Resolve via timely payment,0,False
__baseline__,baseline,,13,Task,Resolve via delinquent payment,0,False
__baseline__,baseline,,14,Task,Resolve via administrative appeal to the Prefecture,0,False
__baseline__,baseline,,15,Task,Insert Date Appeal to Prefecture,0,False
__baseline__,baseline,,16,Task,Send Appeal to Prefecture,0,False
__baseline__,baseline,,17,Task,Receive Result Appeal from Prefecture,0,False
__baseline__,baseline,,18,Task,Notify Result Appeal to Offender,0,False
__baseline__,baseline,,19,Task,Resolve via judicial appeal to the Judge,0,False
__baseline__,baseline,,20,Task,Resolve via coercive credit collection,0,False
__baseline__,baseline,,21,Softgoal,Minimize administrative & enforcement cost,-50,False
__baseline__,baseline,,22,Softgoal,Maximize timely fine revenue,-48,False
__baseline__,baseline,,23,Softgoal,Preserve offender's due-process rights,0,False
__baseline__,baseline,,112,Indicator,Time to fine dispatch (days),4,True
__baseline__,baseline,,113,Indicator,"Time to appeal filing, Prefecture (days)",100,True
__baseline__,baseline,,175,Indicator,"Time to appeal filing, Judge (days)",-100,True
__baseline__,baseline,,114,Indicator,Average time to case closure (days),-100,True
coercive_credit_collection,category,Resolve via coercive credit collection,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
coercive_credit_collection,category,Resolve via coercive credit collection,3,Goal,Fine is issued and formally communicated,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,4,Goal,Fine case is resolved,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,5,Goal,Fine becomes enforceable and is resolved,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,6,Goal,Enforced case is closed,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,7,Goal,Contested appeal is resolved,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,8,Task,Create Fine,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,9,Task,Send Fine,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,10,Task,Insert Fine Notification,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,11,Task,Add Penalty,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,12,Task,Resolve via timely payment,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,13,Task,Resolve via delinquent payment,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,14,Task,Resolve via administrative appeal to the Prefecture,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,15,Task,Insert Date Appeal to Prefecture,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,16,Task,Send Appeal to Prefecture,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,17,Task,Receive Result Appeal from Prefecture,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,18,Task,Notify Result Appeal to Offender,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,19,Task,Resolve via judicial appeal to the Judge,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,20,Task,Resolve via coercive credit collection,0,False
coercive_credit_collection,category,Resolve via coercive credit collection,21,Softgoal,Minimize administrative & enforcement cost,-50,False
coercive_credit_collection,category,Resolve via coercive credit collection,22,Softgoal,Maximize timely fine revenue,-46,False
coercive_credit_collection,category,Resolve via coercive credit collection,23,Softgoal,Preserve offender's due-process rights,24,False
coercive_credit_collection,category,Resolve via coercive credit collection,112,Indicator,Time to fine dispatch (days),9,True
coercive_credit_collection,category,Resolve via coercive credit collection,113,Indicator,"Time to appeal filing, Prefecture (days)",100,True
coercive_credit_collection,category,Resolve via coercive credit collection,175,Indicator,"Time to appeal filing, Judge (days)",-53,True
coercive_credit_collection,category,Resolve via coercive credit collection,114,Indicator,Average time to case closure (days),-100,True
timely_payment,category,Resolve via timely payment,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
timely_payment,category,Resolve via timely payment,3,Goal,Fine is issued and formally communicated,0,False
timely_payment,category,Resolve via timely payment,4,Goal,Fine case is resolved,0,False
timely_payment,category,Resolve via timely payment,5,Goal,Fine becomes enforceable and is resolved,0,False
timely_payment,category,Resolve via timely payment,6,Goal,Enforced case is closed,0,False
timely_payment,category,Resolve via timely payment,7,Goal,Contested appeal is resolved,0,False
timely_payment,category,Resolve via timely payment,8,Task,Create Fine,0,False
timely_payment,category,Resolve via timely payment,9,Task,Send Fine,0,False
timely_payment,category,Resolve via timely payment,10,Task,Insert Fine Notification,0,False
timely_payment,category,Resolve via timely payment,11,Task,Add Penalty,0,False
timely_payment,category,Resolve via timely payment,12,Task,Resolve via timely payment,0,False
timely_payment,category,Resolve via timely payment,13,Task,Resolve via delinquent payment,0,False
timely_payment,category,Resolve via timely payment,14,Task,Resolve via administrative appeal to the Prefecture,0,False
timely_payment,category,Resolve via timely payment,15,Task,Insert Date Appeal to Prefecture,0,False
timely_payment,category,Resolve via timely payment,16,Task,Send Appeal to Prefecture,0,False
timely_payment,category,Resolve via timely payment,17,Task,Receive Result Appeal from Prefecture,0,False
timely_payment,category,Resolve via timely payment,18,Task,Notify Result Appeal to Offender,0,False
timely_payment,category,Resolve via timely payment,19,Task,Resolve via judicial appeal to the Judge,0,False
timely_payment,category,Resolve via timely payment,20,Task,Resolve via coercive credit collection,0,False
timely_payment,category,Resolve via timely payment,21,Softgoal,Minimize administrative & enforcement cost,50,False
timely_payment,category,Resolve via timely payment,22,Softgoal,Maximize timely fine revenue,69,False
timely_payment,category,Resolve via timely payment,23,Softgoal,Preserve offender's due-process rights,-55,False
timely_payment,category,Resolve via timely payment,112,Indicator,Time to fine dispatch (days),38,True
timely_payment,category,Resolve via timely payment,113,Indicator,"Time to appeal filing, Prefecture (days)",-10,True
timely_payment,category,Resolve via timely payment,175,Indicator,"Time to appeal filing, Judge (days)",-100,True
timely_payment,category,Resolve via timely payment,114,Indicator,Average time to case closure (days),100,True
delinquent_payment,category,Resolve via delinquent payment,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
delinquent_payment,category,Resolve via delinquent payment,3,Goal,Fine is issued and formally communicated,0,False
delinquent_payment,category,Resolve via delinquent payment,4,Goal,Fine case is resolved,0,False
delinquent_payment,category,Resolve via delinquent payment,5,Goal,Fine becomes enforceable and is resolved,0,False
delinquent_payment,category,Resolve via delinquent payment,6,Goal,Enforced case is closed,0,False
delinquent_payment,category,Resolve via delinquent payment,7,Goal,Contested appeal is resolved,0,False
delinquent_payment,category,Resolve via delinquent payment,8,Task,Create Fine,0,False
delinquent_payment,category,Resolve via delinquent payment,9,Task,Send Fine,0,False
delinquent_payment,category,Resolve via delinquent payment,10,Task,Insert Fine Notification,0,False
